Company Name,Address,Phone,Business Type
Wahab & Associates,"11, Purana Paltan, Room 212, 1st Floor, Ibrahim Mansion, Dhaka- 1000, Bangladesh","+88-02-9512536, 01711-244796",Lawyers
WAC Logistics Limited,"Safura Tower (7th Floor) 20, Kamal Ataturk Avenue Banani C/A, Dhaka- 1213, Bangladesh",880-2-9821037,Ware Houses
WAC Logistics Limited,"Safura Tower (7th Floor) 20, Kamal Ataturk Avenue, Banani C/A, Dhaka- 1213, Bangladesh",+88-02-9821037,Break Bulk Agent
Wafa Ltd.,"Wafa Tower, 120/B, Motijheel C/A, Dhaka- 1000, Bangladesh","+88-02-9587671, 9587672, 9587673, 9587674, 9587675, 9587676, 9587677, 9587678, 9587679, 9587680, 9854788, 01723-821775, 01911-343986",Manpower Recruiting Agency
W3 Engineers,"181, Taymun Center, 4th Floor, Khan-A-Sobur Road Shibbari More, Khulna, Bangladesh","+88-041-722024, 01722-512512",Computer Sales & Distributor
Wakia Education,"Suite 722-727, 7th Floor, Suvastu Arcade, 46-48, New Elephant Road, Dhaka- 1205, Bangladesh","+88-01980-085448, 01624-899211",Education Consultant / Representative & Foreign Education Centers
Wahid Engineering,"House No. 31, 3rd Floor, Road No. 01/A, Block I, Dhaka- 1213, Bangladesh","+88-02-8810135, 01672-865135, 01713-007369",Manpower Recruiting Agency
Wakiah Enterprise,"Shop No 234-235, 136 (1st Floor), Jabir Tower, Nawabpur, Dhaka- 1100, Bangladesh","+88-02-9511243, 01754-777716, 01974-777716",Pipe Manufacturers
Wakil Ahamed,"74, Begum Bazar, Dhaka- 1211, Bangladesh","+88-02-7311180, 01711-542080",Packaging Industries
Wahid International,"House No. 31, 3rd Floor, Road No. 01/A, Block I, Dhaka- 1213, Bangladesh","+88-02-8810135, 01672-865135, 01713-007369",Manpower Recruiting Agency
Waliullah Board & Paper House,"Jiban Bima Bhaban (Level-3), 10, Dilkusha C/A, Dhaka- 1000, Bangladesh","+880-2-9558535, 9571634-6","Television Manufacturers, Assemblers & Distributors"
Wali Knitwear (Pvt.) Ltd.,"Plot-1088, Block-I, Sabrina Sobhan Road, P.O-Khilkhet, P.S-Vatara, Bashundhara R/A, Dhaka- 1229, Bangladesh",+880-2-8809606-555555,Air Conditioner & Air Cooler Distributor & Service center
Walton,"Jiban Bima Bhaban (Level-3), 10, Dilkusha C/A, Dhaka- 1000, Bangladesh","+880-2-9558535, 9571634-6",Generators [ Gas & Diesel ] / Power Generator
Walton,"Jiban Bima Bhaban (Level-3), 10, Dilkusha C/A, Dhaka- 1000, Bangladesh","+880-2-9558535, 9571634-6","Television Manufacturers, Assemblers & Distributors"
