Company Name,URL,Address,Phone,Business Type
A & Z Computer Center,https://www.bdtradeinfo.com/company/a-z-computer-center-19230,"871, Shewrapara, Rokeya Sarani,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+880-2-9110673,Computer Data Entry Industries
A & A Socks Ltd,https://www.bdtradeinfo.com/company/a-a-socks-ltd-44410,"RK Tower, Level 10, 86 Bir Uttam Cr Datta Road, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01711-535885, 01919-535885",Knit Wears Manufacturers & Exporters [ Knit Garments ]
A & A Enterprise,https://www.bdtradeinfo.com/company/a-a-enterprise-39349,"Ga 80/A, Middle Badda, A.K. Khondoker Road (Gulshan Badda, Link Road) Badda,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+88-01919-953047, 01819-953047, 01914-943245","Exporter, Importer & Indentor (Multi Products)"
A & H Enterprise Ltd.,https://www.bdtradeinfo.com/company/a-h-enterprise-ltd-29554,"93, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9562681-5,"Garments Manufacturers & Exporters [ Men, Women & Kids ]"
A A Sourcing,https://www.bdtradeinfo.com/company/a-a-sourcing-46773,"Firoz Tower (4th Floor), Panthopath,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9135770, 01793-046729, 01711-460062, 01717-136821",Automobile Paints
A B C Corporation,https://www.bdtradeinfo.com/company/a-b-c-corporation-47956,"Firoz Tower (4th Floor), Panthopath,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9135770, 01793-046729, 01711-460062, 01717-136821",Automobile Paints
A Complete Sports Shop,https://www.bdtradeinfo.com/company/a-complete-sports-shop-41242,"13/2, West Panthapath,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-02-8120750,Sports Goods
A K GROUP,https://www.bdtradeinfo.com/company/a-k-group-28955,"House # 31, Apt. # B1, Road # 20, Block # K, Banani,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh","+880-2-9883535, 8859074, 8853836","Exporter, Importer & Indentor (Multi Products)"
A Class Composite Ltd.,https://www.bdtradeinfo.com/company/a-class-composite-ltd-44411,"1 NO PANIR KALL, PAHARTOLI, CHITTAGONG,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh",+88-01919-215881,Lubricants & Motor Oil
A 2000 Systems,https://www.bdtradeinfo.com/company/a-2000-systems-44441,"House # 79, Block # G, Shop # 7, Chairman Bari,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+88-01711-944354,Gift & Novelties
A barani Electronics,https://www.bdtradeinfo.com/company/a-barani-electronics-35728,"13, Stadium Market,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9555564,Electronic Testing & Measuring Instruments & Equipment
A K Trading Co,https://www.bdtradeinfo.com/company/a-k-trading-co-42301,"1 NO PANIR KALL, PAHARTOLI, CHITTAGONG,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh",+88-01919-215881,Lubricants & Motor Oil
A B Metallic,https://www.bdtradeinfo.com/company/a-b-metallic-44418,"House # 79, Block # G, Shop # 7, Chairman Bari,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+88-01711-944354,Gift & Novelties
A M Enterprise (A sister concern of BEAM Group),https://www.bdtradeinfo.com/company/a-m-enterprise-a-sister-concern-of-beam-group-48218,"House # 2207, (Beside Harun Mollah College), Road # 03, Block-B (Ext.), Sagufta NM Housing, Pallabi Mirpur-12,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01713-241601,Freezer Van
A M S Aviation,https://www.bdtradeinfo.com/company/a-m-s-aviation-38494,"131, DIT Extension Road, Rafatun Mansion (5th Floor) Fakirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9361033, 01711-023351",Travel Agencies (Air Ticketing & others)
A Mobile,https://www.bdtradeinfo.com/company/a-mobile-51554,"Shop-408, Twin Tower Concord Shopping Complex,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh",+88-01777-660006,Mobile Phone Repair Shop
A M Computer,https://www.bdtradeinfo.com/company/a-m-computer-44442,"Room # 504, Stock Exchange Building, 9/F,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7123659, 7117313, 9580181, 9580190",Share & Security Broker House
A M Traders,https://www.bdtradeinfo.com/company/a-m-traders-41709,"House # 181/B (2nd floor), Road # 23, New DOHS, Mohakhali,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh",+880-2-8856191,Garments Buyers / Buying House
A N F Management Company Limited,https://www.bdtradeinfo.com/company/a-n-f-management-company-limited-44485,"Room # 504, Stock Exchange Building, 9/F,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7123659, 7117313, 9580181, 9580190",Share & Security Broker House
A M Traders Ltd.,https://www.bdtradeinfo.com/company/a-m-traders-ltd-33161,"House # 181/B (2nd floor), Road # 23, New DOHS, Mohakhali,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh",+880-2-8856191,Garments Buyers / Buying House
A P (Dhaka) Ltd.,https://www.bdtradeinfo.com/company/a-p-dhaka-ltd-28195,"Concord Tower, Suite-704, 113, Kazi Nazrul Islam Avenue,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+880-2-7315894, 8316684",Cosmetics & Beauty Products
A One Computer,https://www.bdtradeinfo.com/company/a-one-computer-44443,"12/1, Pallabi,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+88-01837-166338, 01306-912430",Swimming Training Center
A N W Securities Ltd.,https://www.bdtradeinfo.com/company/a-n-w-securities-ltd-44486,"12/1, Pallabi,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+88-01842-233023, 01872-792382",Water Treatment Plant & Equipment
A Plus Bangladesh,https://www.bdtradeinfo.com/company/a-plus-bangladesh-36904,"12/1, Pallabi,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+88-01837-166338, 01306-912430",Swimming Training Center
A Plus Bangladesh,https://www.bdtradeinfo.com/company/a-plus-bangladesh-36494,"12/1, Pallabi,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+88-01842-233023, 01872-792382",Water Treatment Plant & Equipment
A Plus Bangladesh,https://www.bdtradeinfo.com/company/a-plus-bangladesh-41646,"12, Elephant Road, Moghbazer,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9331936,Pipe Manufacturers
A Salam Metal Industries,https://www.bdtradeinfo.com/company/a-salam-metal-industries-26119,"12, Elephant Road, Moghbazer,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9331936,Pipe Manufacturers
A Plus Bangladesh,https://www.bdtradeinfo.com/company/a-plus-bangladesh-41647,"12/1 Pallabi Suite- GE,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+88-01839-600344, 01837-766338","Swimming Pool Equipment Supply, Construction & Installation"
A T K Computer,https://www.bdtradeinfo.com/company/a-t-k-computer-44444,"154, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9563032, 9552817",Computer Sales & Distributor
A to Z Trade Center,https://www.bdtradeinfo.com/company/a-to-z-trade-center-32575,"43/2, Free School Street, Sonargaon Road, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9674140,"Marble & Mosaic Tiles, Stone Manufacturers, Dealers & Sellers"
A to Z Collection,https://www.bdtradeinfo.com/company/a-to-z-collection-51696,"89/1, Kakrail Super Market, 134 Kakrail,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9354697, 01710-262610",Travel Agencies (Air Ticketing & others)
A To Z Computer,https://www.bdtradeinfo.com/company/a-to-z-computer-31806,"154, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9563032, 9552817",Computer Sales & Distributor
A to Z Tours & Travels,https://www.bdtradeinfo.com/company/a-to-z-tours-travels-38495,"89/1, Kakrail Super Market, 134 Kakrail,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9354697, 01710-262610",Travel Agencies (Air Ticketing & others)
A&A Enterprise,https://www.bdtradeinfo.com/company/aa-enterprise-51661,"72 Shankar Plaza (5th Floor), Satmasjid Road,                                                                                                       Dhaka- 1207,                                                                                                       Bangladesh","+880-2-9121079, 01715-024876",Computer Sales & Distributor
A&A Socks Ltd,https://www.bdtradeinfo.com/company/aa-socks-ltd-43900,"34/A Hatkhola Road, Tikatuly, Ettfaq Moor,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+880-2-7123914, 01712-535320, 01685-317496",Scientific Equipment / Instruments / Products
A+ It (Pvt.) Limited,https://www.bdtradeinfo.com/company/a-it-pvt-limited-44445,"72 Shankar Plaza (5th Floor), Satmasjid Road,                                                                                                       Dhaka- 1207,                                                                                                       Bangladesh","+880-2-9121079, 01715-024876",Computer Sales & Distributor
A- Square Design & Construction,https://www.bdtradeinfo.com/company/a-square-design-construction-51655,"162, Aziz Co-operative Medicine Market Shahbag,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9613305,Medicine Stores
A- Rahman Scientific Co.,https://www.bdtradeinfo.com/company/a-rahman-scientific-co-47729,"34/A Hatkhola Road, Tikatuly, Ettfaq Moor,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+880-2-7123914, 01712-535320, 01685-317496",Scientific Equipment / Instruments / Products
A- To -Z Pharma,https://www.bdtradeinfo.com/company/a-to-z-pharma-37455,"162, Aziz Co-operative Medicine Market Shahbag,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9613305,Medicine Stores
A-Matribhumi Travels International,https://www.bdtradeinfo.com/company/a-matribhumi-travels-international-38496,"89/1, Kakrail Super Market (1st Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-8321017, 9351930, 01712-279202",Travel Agencies (Air Ticketing & others)
A-1 Export (Pvt.) Limited,https://www.bdtradeinfo.com/company/a-1-export-pvt-limited-44412,"Rohim Tower, Ga-99/5, Modho Badda,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+88-01676-050000, 01680-320000","Toy Merchants, Manufacturers and Importers"
A-1 International,https://www.bdtradeinfo.com/company/a-1-international-43245,"T.K Bhaban (10th & 6th Floor), 13, Kawran Bazar,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-02-09612452222, 55013573, 55013574, 55013575, 9116334, 9116219",Knit Wears Manufacturers & Exporters [ Knit Garments ]
A-1 Super Shop,https://www.bdtradeinfo.com/company/a-1-super-shop-38258,"Rohim Tower, Ga-99/5, Modho Badda,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+88-01676-050000, 01680-320000","Toy Merchants, Manufacturers and Importers"
A-One Polar Ltd,https://www.bdtradeinfo.com/company/a-one-polar-ltd-44414,"T.K Bhaban (10th & 6th Floor), 13, Kawran Bazar,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-02-09612452222, 55013573, 55013574, 55013575, 9116334, 9116219",Knit Wears Manufacturers & Exporters [ Knit Garments ]
A-One Polymer Limited,https://www.bdtradeinfo.com/company/a-one-polymer-limited-42712,"Baitul Hossain Building (14th Floor), 27 Dilkusha Commercial Area,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9564033,Pipe Manufacturers
A. A Steel Limited,https://www.bdtradeinfo.com/company/a-a-steel-limited-38367,"House-531/4, Road-11, Baridhara DOHS,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh","+88-02-8416294, 01715-112252",Steel Building System
