Company Name,URL,Address,Phone,Business Type
B & B Enterprise,https://www.bdtradeinfo.com/company/b-b-enterprise-32300,"Room # 718 (6th floor) Stock Exchange Building, 9/F, Motijheel,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9555287, 9564601",Share & Security Broker House
B & B Enterprise Limited,https://www.bdtradeinfo.com/company/b-b-enterprise-limited-44553,"TREC No. 34, Room No. 718, Dhaka Stock Exchange Building, 9/F, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9555287, 9564601, 9576210-18",Share & Security Broker House
B S TRADING HOUSE,https://www.bdtradeinfo.com/company/b-s-trading-house-49771,"House-14, Road-02, Sector-06, Uttara,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+88-01729-295858, 01711-463046",Electrical Substation & Substation Equipment
B&f International Co. Ltd.,https://www.bdtradeinfo.com/company/bf-international-co-ltd-45024,"PLOT NO. 12, SONARGAON JANAPATH, SECTOR #09,,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+88-01612-264559,ISO Certification Providers
B&F Group,https://www.bdtradeinfo.com/company/bf-group-51922,"16, Bangabandhu Patal Market, Gulistan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-7160861,Electrical Goods Dealers & Sellers
B-ADVANCY Certification Ltd,https://www.bdtradeinfo.com/company/b-advancy-certification-ltd-50527,"PLOT NO. 12, SONARGAON JANAPATH, SECTOR #09,,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+88-01612-264559,ISO Certification Providers
B-Baria Electronics,https://www.bdtradeinfo.com/company/b-baria-electronics-30737,"16, Bangabandhu Patal Market, Gulistan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-7160861,Electrical Goods Dealers & Sellers
B. Doza & Company.,https://www.bdtradeinfo.com/company/b-doza-company-36404,"M Court (2nd Floor), 108 Agrabad C/A,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh","+880-31-713942-44, 713099",Clearing & Forwarding Agents (C & F agent / CNF Agent)
B-Trac Technologies Limited,https://www.bdtradeinfo.com/company/b-trac-technologies-limited-45025,"Plot # 68 (Old 45), Block # H, Road # 11, Banani,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh","+880-2-8838001-4, 01755-548880",Computer Sales & Distributor
B. D. Robotics,https://www.bdtradeinfo.com/company/b-d-robotics-45026,"47/9, B.B Road,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+88-02-7633224,Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. G. Apparels Ltd.,https://www.bdtradeinfo.com/company/b-g-apparels-ltd-44959,"5/15, Taker Hat Lane Nawabpur,                                                                                                       Dhaka- 1400,                                                                                                       Bangladesh","+88-02-9554814, 7175666",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. F. B Knit,https://www.bdtradeinfo.com/company/b-f-b-knit-44958,"47/9, B.B Road,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+88-02-7633224,Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. K. Knitting & Fabrics,https://www.bdtradeinfo.com/company/b-k-knitting-fabrics-44960,"House 12, Road 17, Sector 4,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+88-02-8955890, 01711-372212",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. K Motor & Car Decoration,https://www.bdtradeinfo.com/company/b-k-motor-car-decoration-44434,"58, New Eskaton Road, Momotaz Mansion, Banglamotor,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-01720-221021, 01729-484860, 01928-195800, 01912-242873",Car Decoration
B & F International Co. Ltd.,https://www.bdtradeinfo.com/company/b-f-international-co-ltd-36534,"Planners Tower, 19th Floor, Suite 6, Sonargaon Road, Banglamotor,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+88-02-8617943, 01711-851381",Medical Equipment
B. K. Traders,https://www.bdtradeinfo.com/company/b-k-traders-31270,"Corner Place Super Market, 106/A, Green Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-8118824, 9142813",Paint Manufacturers
B. Braun Medical Industries Sdn. Bhd.,https://www.bdtradeinfo.com/company/b-braun-medical-industries-sdn-bhd-39769,"Planners Tower, 19th Floor, Suite 6, Sonargaon Road, Banglamotor,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+88-02-8617943, 01711-851381",Medical Equipment
B. M. Traders,https://www.bdtradeinfo.com/company/b-m-traders-32592,"Corner Place Super Market, 106/A, Green Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-8118824, 9142813",Paint Manufacturers
B. L Apparels Ltd.,https://www.bdtradeinfo.com/company/b-l-apparels-ltd-44961,"Dhaka-Sylhet Road, Baghata, Shilmondi,                                                                                                       Narsingdi- 1600,                                                                                                       Bangladesh","+88-02-9451223, 9451230, 01843-436101",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. M. Trading International,https://www.bdtradeinfo.com/company/b-m-trading-international-33449,"9/H, Motijheel C/A Mansion (2nd floor), Room # 202,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9896954, 8819510","Exporter, Importer & Indentor (Multi Products)"
B. M. Trading International,https://www.bdtradeinfo.com/company/b-m-trading-international-33611,"90/1, City Center Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9555818, 9565161","Fabrics Manufacturers (Industries), Suppliers & Showroom"
B. N. Tex,https://www.bdtradeinfo.com/company/b-n-tex-44962,"37, Isha Khan Road, Hajigonj,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+88-02-7613640, 7616924",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. N. Trading Natural Fibres,https://www.bdtradeinfo.com/company/b-n-trading-natural-fibres-31048,"90/1, City Center Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9555818, 9565161","Fabrics Manufacturers (Industries), Suppliers & Showroom"
B. R. Fashion Wear,https://www.bdtradeinfo.com/company/b-r-fashion-wear-44963,"37, Isha Khan Road, Hajigonj,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+88-02-7613640, 7616924",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. S Knitwear,https://www.bdtradeinfo.com/company/b-s-knitwear-44965,"69/6, B. B. Road, Barson Super Market (5th floor),                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+88-02-9750362, 9751946, 7632745",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. R. Knit Wear,https://www.bdtradeinfo.com/company/b-r-knit-wear-44964,"12, Sirajadullah Road (1st & 2nd Floor),                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+88-02-7616814,Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. S Textile,https://www.bdtradeinfo.com/company/b-s-textile-44966,"242/1, Deobogh Pucca Road Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+88-02-7610858,Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. S. S. Fashion,https://www.bdtradeinfo.com/company/b-s-s-fashion-44967,"242/1, Deobogh Pucca Road Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+88-02-7610858,Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. S. Jute Spinners Ltd.,https://www.bdtradeinfo.com/company/b-s-jute-spinners-ltd-30938,"Char Syedpur,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+88-02-7630852,Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. Y. S Garments Ltd.,https://www.bdtradeinfo.com/company/b-y-s-garments-ltd-44969,"779-780, Shewrapara, Rokeya Sharoni,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+88-02-8012593, 8911721",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B. S. T-Shirt Design,https://www.bdtradeinfo.com/company/b-s-t-shirt-design-44968,"Char Syedpur,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+88-02-7630852,Knit Wears Manufacturers & Exporters [ Knit Garments ]
B.A. Associates,https://www.bdtradeinfo.com/company/ba-associates-43460,"A.R. Khan Trade Center, 4th Floor, 40/1, Naya Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9353564, 9342125, 01794-532121",Manpower Recruiting Agency
B.A.S. Associates Ltd.,https://www.bdtradeinfo.com/company/bas-associates-ltd-28984,"9, DIT Avenue (Ground floor) Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9551823, 9556702","Exporter, Importer & Indentor (Multi Products)"
B.D Corporation,https://www.bdtradeinfo.com/company/bd-corporation-28985,"9, DIT Avenue (Ground floor) Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9551823, 9556702","Exporter, Importer & Indentor (Multi Products)"
B.B. Traders,https://www.bdtradeinfo.com/company/bb-traders-33867,"28/A, Kakrail, 3rd Floor, V.I.P. Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-8321677, 8313754, 01819-275245",Manpower Recruiting Agency
B.D. Corporation,https://www.bdtradeinfo.com/company/bd-corporation-29198,"9, DIT Avenue (Ground floor), Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9551823, 9556702","Exporter, Importer & Indentor (Multi Products)"
B.D. Associates & Co. Ltd.,https://www.bdtradeinfo.com/company/bd-associates-co-ltd-43461,"28/A, Kakrail, 3rd Floor, V.I.P. Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-8321677, 8313754, 01819-275245",Manpower Recruiting Agency
B.K.MOTOR & CAR DECORATION,https://www.bdtradeinfo.com/company/bkmotor-car-decoration-50073,"58 , New Eskaton Road, Momotaz Mansion,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01720-221021,Motor Parts & Tyre Tube Merchants
B.D.F. Hospital,https://www.bdtradeinfo.com/company/bdf-hospital-46213,"Baghata, Shilmondi,                                                                                                       Narsingdi,                                                                                                       Bangladesh","+88-0294-51230, 63910, 01843-436101",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B.J. Bed Co. Ltd.,https://www.bdtradeinfo.com/company/bj-bed-co-ltd-32814,"Road-28 (Old), House-23 (New),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01711-209995,Soybean and Soy-food Producers
B.l Apparels Ltd.,https://www.bdtradeinfo.com/company/bl-apparels-ltd-44970,"Baghata, Shilmondi,                                                                                                       Narsingdi,                                                                                                       Bangladesh","+88-0294-51230, 63910, 01843-436101",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B.K Trade International,https://www.bdtradeinfo.com/company/bk-trade-international-40235,"Road-28 (Old), House-23 (New),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01711-209995,Soybean and Soy-food Producers
B.M Security Service (pvt) Ltd,https://www.bdtradeinfo.com/company/bm-security-service-pvt-ltd-49898,"150/1, Cresent Home, Sah-Alibag, Main Road, Mirpur-1,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+880-2-58050307, 01719-218847",Security Services
B.M. Scientific & chemicals Stores,https://www.bdtradeinfo.com/company/bm-scientific-chemicals-stores-47937,"Noakhali Tower, 3rd Floor, 55/B, Purana Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9550671, 9560370, 9561229, 9553484, 01740-400129",Manpower Recruiting Agency
B.M Trading International,https://www.bdtradeinfo.com/company/bm-trading-international-29199,"A/28-29, Bscic I/E,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+88-02-7671330, 7670046, 7671331",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B.M.S Travels,https://www.bdtradeinfo.com/company/bms-travels-43462,"Noakhali Tower, 3rd Floor, 55/B, Purana Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9550671, 9560370, 9561229, 9553484, 01740-400129",Manpower Recruiting Agency
B.R.Knitting Mills,https://www.bdtradeinfo.com/company/brknitting-mills-45020,"A/28-29, Bscic I/E,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+88-02-7671330, 7670046, 7671331",Knit Wears Manufacturers & Exporters [ Knit Garments ]
B.R. Geo-technical Consultant,https://www.bdtradeinfo.com/company/br-geo-technical-consultant-47565,"Sultan Ahmed Plaza, (4th Floor0, Suit-5/5, 32 Punara Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01740-481822,Travel Agencies (Air Ticketing & others)
B.S tours & Travels,https://www.bdtradeinfo.com/company/bs-tours-travels-51485,"Sultan Ahmed Plaza, (4th Floor0, Suit-5/5, 32 Punara Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01740-481822,Travel Agencies (Air Ticketing & others)
B.s. Computers,https://www.bdtradeinfo.com/company/bs-computers-45027,"92, Aziz Co-Operative Super Market, Sahbag,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9660259, 01711-526984",Computer Sales & Distributor
