Company Name,URL,Address,Phone,Business Type
C & A Textiles Ltd.,https://www.bdtradeinfo.com/company/c-a-textiles-ltd-45265,"Plot No 32/A, Bscic I/E, Kalurghat,                                                                                                       Chittagong- 4000,                                                                                                       Bangladesh","+88-031-670264, 2570638",Knit Wears Manufacturers & Exporters [ Knit Garments ]
C & C Trade International,https://www.bdtradeinfo.com/company/c-c-trade-international-40320,"69-71, New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9660891, 01711-239525",Cleaning Equipment
C. C. M. Knit Wear Ltd.,https://www.bdtradeinfo.com/company/c-c-m-knit-wear-ltd-45267,"Uttarkhan Razabari, Atipara Bazar, P.S. Uttar Khan,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+88-02-8957822,Knit Wears Manufacturers & Exporters [ Knit Garments ]
C- Maart Securities Limited,https://www.bdtradeinfo.com/company/c-maart-securities-limited-44567,"House # 14, Road # 18, Sector # 3, Uttara Model Town,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+880-2-58952630, 8811255, 8811298, 9880851, 9563307, 01711-354628",Share & Security Broker House
C. H. S. Furniture,https://www.bdtradeinfo.com/company/c-h-s-furniture-39586,"Sonartori Tower (13th Floor) Level- 12, Sonargaon Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-8622996, 8624627",Construction Consultants & Engineering Firms
C. R. M. Ltd,https://www.bdtradeinfo.com/company/c-r-m-ltd-23647,"Sonartori Tower (13th Floor) Level- 12, Sonargaon Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-8622996, 8624627",Construction Consultants & Engineering Firms
C.P. Bangladesh Co. Ltd.,https://www.bdtradeinfo.com/company/cp-bangladesh-co-ltd-10009,"Holding No: E-236, Ward No: 07, Chandra, Kaliakoir, Gazipur,                                                                                                       Dhaka,                                                                                                       Bangladesh",+88-01708-809090,Animal Feeds
C.A Knitwear,https://www.bdtradeinfo.com/company/ca-knitwear-45268,"62/1, Purana Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9007096, 9008752, 9861831",Knit Wears Manufacturers & Exporters [ Knit Garments ]
C. A Knitwear Ltd.,https://www.bdtradeinfo.com/company/c-a-knitwear-ltd-45266,"V.I.P. Tower (6th Floor), 51/1, V.I.P. Road, Naya Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9361837, 58310461, 58315879, 9338005, 01819-216081, 01711-348191",Manpower Recruiting Agency
c2cpharma.com.bd,https://www.bdtradeinfo.com/company/c2cpharmacombd-50741,"Skylark Point (1st floor), 175 Shohid Syeed Nazrul Islam Shoroni, 24/A Bijoynagar (Old),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9348401, 9339337",Taxi Service
C.A. Trading Corporation,https://www.bdtradeinfo.com/company/ca-trading-corporation-43506,"V.I.P. Tower (6th Floor), 51/1, V.I.P. Road, Naya Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9361837, 58310461, 58315879, 9338005, 01819-216081, 01711-348191",Manpower Recruiting Agency
Cab Association of Bangladesh,https://www.bdtradeinfo.com/company/cab-association-of-bangladesh-41537,"77-78, Ara Mansion (5th floor) Amtoli,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+88-02-9855461, 9855471, 01711-520643, 01712-620329",Associations
Cab Expres (Bangladesh) Ltd,https://www.bdtradeinfo.com/company/cab-expres-bangladesh-ltd-17136,"Skylark Point (1st floor), 175 Shohid Syeed Nazrul Islam Shoroni, 24/A Bijoynagar (Old),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9348401, 9339337",Taxi Service
C.P. Bangladesh Ltd.,https://www.bdtradeinfo.com/company/cp-bangladesh-ltd-32890,"23, Purana Paltan Lane, Shovo Sadan(3rd Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-9354774,Associations
Cabarade Comercio E Industria DE Angola,https://www.bdtradeinfo.com/company/cabarade-comercio-e-industria-de-angola-17791,"6/19, Eastern Plaza (Level # 6, Sonargon Road), Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-8621579, 8621032",Fish Firming Chemical
Cable Operators Association of Bangladesh,https://www.bdtradeinfo.com/company/cable-operators-association-of-bangladesh-41538,"23, Purana Paltan Lane, Shovo Sadan(3rd Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-9354774,Associations
