Company Name,URL,Address,Phone,Business Type
D B T Shipping Ltd.,https://www.bdtradeinfo.com/company/d-b-t-shipping-ltd-19300,"Moon Mansion (2nd floor), 12 Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9565568, 9550058, 01711-952674",Shipping Company / Agents
D-Water Tech,https://www.bdtradeinfo.com/company/d-water-tech-15975,"House-328, Lane-5, Baridhara DOHS,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh",+88-01817-610026,Water Treatment Plant & Equipment
D Lab Scientific,https://www.bdtradeinfo.com/company/d-lab-scientific-49931,"7/3, Bhagobati Banarjee Road, Hatkhola,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+88-01780-356517, 01912-556313, 01671-406852",Scientific Equipment / Instruments / Products
D & G Hospice Care,https://www.bdtradeinfo.com/company/d-g-hospice-care-41239,"Momtaz Plaza (2nd Floor), House 7, Road 4, Dhanmondi R/A,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01199-338844, 01199-833880",Hospital
D G Lab Diagnostic Center,https://www.bdtradeinfo.com/company/d-g-lab-diagnostic-center-47342,"196/1 (2nd Floor), Green Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01919-934627, 01552-446628, 01770-294806",Diagnostic Centers
D.B.H. Enternational (Dhaka office),https://www.bdtradeinfo.com/company/dbh-enternational-dhaka-office-23361,"VIP Tower (7th floor), 51/1 VIP Road, Nayapaltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-8361361, 9347043, 9354510, 01819-237392, 01816-666284",Travel Agencies (Air Ticketing & others)
D.B.H. Enternational (Dhaka office),https://www.bdtradeinfo.com/company/dbh-enternational-dhaka-office-23358,"VIP Tower (7th floor), 51/1 VIP Road, Nayapaltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-8361361, 9347043, 9354510, 01819-237392",Manpower Recruiting Agency
D.B.H. International,https://www.bdtradeinfo.com/company/dbh-international-43530,"V.I.P. Tower, 7th Floor, 51/1, V.I.P. Road, Naya Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9347043, 9354510, 01819-237392",Manpower Recruiting Agency
D.M. Tools & Machineries,https://www.bdtradeinfo.com/company/dm-tools-machineries-50639,"98, Nawabpur Road,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh",+880-01978-800112,Machinery & Machine Tools
D.H. Fashion,https://www.bdtradeinfo.com/company/dh-fashion-36091,"123/22, Mowbon Super Market, New Kakrail road, Shantinagar,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh",+880-2-9353409,Garments Accessories Supplier
D.N. Chemical Co.,https://www.bdtradeinfo.com/company/dn-chemical-co-39991,"117, Aga Sadek Road, Bongshal,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+88-02-7321651, 7321651, 01711-111104",Chemical & Perfumery Merchant
D.G. Enterprise,https://www.bdtradeinfo.com/company/dg-enterprise-37976,"Suite-5FL_D/1, Motalib Tower (5th Floor) 8/2 Paribagh, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9674920, 01915-829193, 01963-611055",Mobile Telephone Set Dealers & Sellers
D.N. Trade International,https://www.bdtradeinfo.com/company/dn-trade-international-38023,"42/A/2, Shahid Nazrul Islam Road, Hatkhola, Feroza Tower (2nd Floor)Tikatuli,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+88-02-9560164-5, 01819-238405",Clearing & Forwarding Agents (C & F agent / CNF Agent)
D.N.T Engineering Enterprises,https://www.bdtradeinfo.com/company/dnt-engineering-enterprises-19442,"Hade Office : Mohakhali DOSE, House # 193, Road # 1,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh",+880-2-8714578,Construction Companies
D.N. Trade International,https://www.bdtradeinfo.com/company/dn-trade-international-47655,"42/A/2, Hatkhola Road (Sahid Nazrul Islam Sarani), Feroza Tower, 2thloor, Suite 302 Tikatuli,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+880-2-9560164-5, 01819-239407, 01924-336226",Travel Agencies (Air Ticketing & others)
D.N.T Engenearing Enterpries,https://www.bdtradeinfo.com/company/dnt-engenearing-enterpries-21604,"Hade Office : Mohakhali DOSE, House # 193, Road # 1,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh",+880-2-8714578,Engineering Construction Civil
D.N.T Engineering Enterprises,https://www.bdtradeinfo.com/company/dnt-engineering-enterprises-14088,"House # 193, Road # 1, Mohakhali DOSH,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh",+880-2-8714578,Electrical Goods Dealers & Sellers
D.S Shipping Lines,https://www.bdtradeinfo.com/company/ds-shipping-lines-39189,"Hotel Tripty Complex 4/4, Simson Road, Sadarghat,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+88-02-7393499, 01711-819008",Shipping Company / Agents
D.R. Trading Co.,https://www.bdtradeinfo.com/company/dr-trading-co-51837,"108, Sahid Tajuddin Ahmed Sorani,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01716-842650,House Rental Service
D.S. Jute Mills Ltd.,https://www.bdtradeinfo.com/company/ds-jute-mills-ltd-39416,"Concord Royal Court, Level-4 House-40 (New), Road-16 (New),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-8228523, 01713-014835",Jute Mills / Industries / Spinners
D.S. Line Limited,https://www.bdtradeinfo.com/company/ds-line-limited-11343,"600 Sk. Mujib Road,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh",+880-31-721892,International Freight Forwarders
D.R Corporation,https://www.bdtradeinfo.com/company/dr-corporation-45166,"82 Mirpur Road (Laboratory Road), 2nd Floor, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9673661, 01819-242080",Computer Sales & Distributor
Da tomato (pvt.) Ltd,https://www.bdtradeinfo.com/company/da-tomato-pvt-ltd-45167,"Suite # A (2nd Floor), House # 8/2, Road # Paribag, Area # Hatirpul,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-8625689, 01713-303275",Computer Sales & Distributor
