Company Name,URL,Address,Phone,Business Type
E-Bangla Limited,https://www.bdtradeinfo.com/company/e-bangla-limited-45279,"Section # 12, Block # B, Road # 04, Plot # 61/1, 61/2, Pollobi,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01977-711770,Computer Sales & Distributor
E- Zone Limited,https://www.bdtradeinfo.com/company/e-zone-limited-39779,"Planner's Tower (10th Floor), 13/A Sonargaon Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-9614900,Accounts & Audit Service
E way,https://www.bdtradeinfo.com/company/e-way-43234,"60/7, Moytri Bhaban, Momin Road,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh",+88-031-841372,Cyber Cafe
E-Biz (A Sister Concern of the New Nation),https://www.bdtradeinfo.com/company/e-biz-a-sister-concern-of-the-new-nation-16282,"Itiefaq Bhaban, 1. R.K, Mission Road,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh",+880-2-7122654,News Magazine Monthly
E-Gen Corporation Limited.,https://www.bdtradeinfo.com/company/e-gen-corporation-limited-45280,"Sammon Castle, Apt.- A1, 860, East Shewra Para, Pegum Rokeya sharani (Besides Premier Bank),                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01912-141414,Computer Sales & Distributor
E-TECH PROFESSIONALS LIMITED,https://www.bdtradeinfo.com/company/e-tech-professionals-limited-50877,"House # 31, Road # 09-Avenue, Sector # 15,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+88-01332-816871-89, 01902-599005",CCTV Camera / Close Circuit Television System
E - Securities Ltd.,https://www.bdtradeinfo.com/company/e-securities-ltd-44589,"House # 31, Road # 09-Avenue, Sector # 15,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+88-01332-816871-89, 01902-599005",Fire Detection & Protection System Equipment
E-Soft,https://www.bdtradeinfo.com/company/e-soft-45281,"Sammon Castle, Apt.- A1, 860, East Shewra Para, Pegum Rokeya sharani (Besides Premier Bank),                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01912-141414,Computer Sales & Distributor
E-TECH PROFESSIONALS LIMITED,https://www.bdtradeinfo.com/company/e-tech-professionals-limited-50876,"House # 31, Road # 09-Avenue, Sector # 15,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+88-01332-816871-89, 01902-599005",Fire Detection & Protection System Equipment
E-Travels Ltd.,https://www.bdtradeinfo.com/company/e-travels-ltd-43546,"Habib Mansion (3rd Floor), 62, Kemal Ataturk Avenue,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh","+88-02-9873225, 01676-118941",Manpower Recruiting Agency
E-Tech Professionals Ltd.,https://www.bdtradeinfo.com/company/e-tech-professionals-ltd-49976,"Hossain Chamber (1st Fl.) 105 Agrabad C/A,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh","+880-31-714281, 714282",Computer Sales & Distributor
E-TECH PROFESSIONALS LIMITED,https://www.bdtradeinfo.com/company/e-tech-professionals-limited-50878,"House # 31, Road # 09-Avenue, Sector # 15,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+88-01332-816871-89, 01902-599005",Electrical Substation & Substation Equipment
E-Venture Ltd.,https://www.bdtradeinfo.com/company/e-venture-ltd-12221,"Hossain Chamber (1st Fl.) 105 Agrabad C/A,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh","+880-31-714281, 714282",Networking [ LAN / WAN / VPN ]
e-Venture Ltd,https://www.bdtradeinfo.com/company/e-venture-ltd-36251,"Hossain Chamber (1st Fl.) 105 Agrabad C/A,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh","+880-31-714281, 714282",Computer Sales & Distributor
E-Vision Software Ltd.,https://www.bdtradeinfo.com/company/e-vision-software-ltd-24881,"15-17 City Shopping Complex (2nd floor), Agrabad Access Road, Bepari Para, Agrabad,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh","+880-31-812414, 813219, 01711-953787",Software & Customized Software Solutions
E. C fashionwear(Pvt) Ltd.,https://www.bdtradeinfo.com/company/e-c-fashionwearpvt-ltd-46266,"A-7, Bscic I/A Fatullah,                                                                                                       Narayanganj,                                                                                                       Bangladesh","+880-2-720786, 650934, 7601062, 7601557",Knit Wears Manufacturers & Exporters [ Knit Garments ]
E. E. C Bangla Knit Wears Ltd.,https://www.bdtradeinfo.com/company/e-e-c-bangla-knit-wears-ltd-46267,"14A Chandrashila Suvastu Tower, 69/1 Bir Uttam Qazi Nuruzzaman Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9641256-9,Computer Sales & Distributor
E. R. Fashion,https://www.bdtradeinfo.com/company/e-r-fashion-46268,"Israfil Sarker Road, Fatullah, Narayangonj,                                                                                                       Narayanganj,                                                                                                       Bangladesh",+880-2-7602115,Knit Wears Manufacturers & Exporters [ Knit Garments ]
E.b. Solutions Ltd.,https://www.bdtradeinfo.com/company/eb-solutions-ltd-45282,"14A Chandrashila Suvastu Tower 69/1 Bir Uttam Qazi Nuruzzaman Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9641256-9,Consulting Firms & Consultants
E.Gen Consultants Limited,https://www.bdtradeinfo.com/company/egen-consultants-limited-12474,"14A Chandrashila Suvastu Tower, 69/1 Bir Uttam Qazi Nuruzzaman Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9641256-9,Computer Sales & Distributor
E.Gen Consultants Ltd.,https://www.bdtradeinfo.com/company/egen-consultants-ltd-25462,"14A Chandrashila Suvastu Tower 69/1 Bir Uttam Qazi Nuruzzaman Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9641256-9,Consulting Firms & Consultants
E.Gen Corporation Ltd.,https://www.bdtradeinfo.com/company/egen-corporation-ltd-12913,"14A Chandrashila Suvastu Tower 69/1 Bir Uttam Qazi Nuruzzaman Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9641256-9,Software & Customized Software Solutions
E.M. Enterprise Ltd.,https://www.bdtradeinfo.com/company/em-enterprise-ltd-43547,"Haque Chamber, 89/2, West Panthapath, Suit # 11 C&D,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9146098, 01711-545555",Computer Sales & Distributor
