Company Name,URL,Address,Phone,Business Type
F K Overseas,https://www.bdtradeinfo.com/company/f-k-overseas-49521,"147, D.I.T Ext. Road (1st Floor), Fakirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-49350226, 48318734, 8331455, 01819-151049",Travel Agencies (Air Ticketing & others)
F & A Enterprise,https://www.bdtradeinfo.com/company/f-a-enterprise-19001,"80, Motijheel C/A (Ground floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7161993, 7168865",Contractors
F. F. Garments (pvt) ltd,https://www.bdtradeinfo.com/company/f-f-garments-pvt-ltd-46306,"14/15, R. K. Das Road, Netaigonj,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+880-2-7631817,Knit Wears Manufacturers & Exporters [ Knit Garments ]
F-8 Fashion & Embroidery,https://www.bdtradeinfo.com/company/f-8-fashion-embroidery-46305,"222, New Elephant Road (2nd Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01711-861885,Knit Wears Manufacturers & Exporters [ Knit Garments ]
F. J. Seafood Trade International Ltd.,https://www.bdtradeinfo.com/company/f-j-seafood-trade-international-ltd-38678,"15/2, Topkhana Road, B.M.A. Bhaban,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9571738, 9554015",Medical Equipment
F. R. Trading corporation,https://www.bdtradeinfo.com/company/f-r-trading-corporation-50406,"Room # 209, (8th Floor), Muktobangla Shopping Complex,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01766-008585,Jute Ropes & Cords
F. M. Surgical & Scientific Co.,https://www.bdtradeinfo.com/company/f-m-surgical-scientific-co-30778,"15/2, Topkhana Road, B.M.A. Bhaban,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9571738, 9554015",Medical Equipment
F.A.H. Overseas Ltd.,https://www.bdtradeinfo.com/company/fah-overseas-ltd-43571,"Kulsum Apartment, 2nd Floor, 40-41, Sidhawshory Circular Road, Shantinagar,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh","+88-02-9349839, 01925-529555, 01771-766696",Manpower Recruiting Agency
F.h. International,https://www.bdtradeinfo.com/company/fh-international-45318,"46-48, Dr Kudrat-E-Khuda Road (Elephant Road), Shop # 716, 717, 718, Suvastu Arcade, 7th Floor,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01670-001117,Computer Sales & Distributor
F Rahman Enterprises,https://www.bdtradeinfo.com/company/f-rahman-enterprises-51059,"115/7A, Distillary Road, Gandaria,                                                                                                       Dhaka- 1204,                                                                                                       Bangladesh","+88-02-7443546, 01713-258824",Oil Company & Oil Tanker
