Company Name,URL,Address,Phone,Business Type
G-Tech,https://www.bdtradeinfo.com/company/g-tech-45337,"Multiplan Centre, Level # 7, Shop # 739-740, 69-71 New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01619-212121,Computer Sales & Distributor
G R BEARING IMPORTER,https://www.bdtradeinfo.com/company/g-r-bearing-importer-51082,"82 Nawabpur Rd,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh",+88-01736-796564,Bearing
G Sorrower & Associates,https://www.bdtradeinfo.com/company/g-sorrower-associates-42314,"Meherba Plaza, Suite 9-C (9th Floor), 33 Topkhana Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9576744, 01713-005683",Lawyers
G M Enterprise,https://www.bdtradeinfo.com/company/g-m-enterprise-40861,"205, Nawabpur Road (Praciden Tower),                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+88-02-9591897, 01971-151120",Generators [ Gas & Diesel ] / Power Generator
G M F Securities Limited.,https://www.bdtradeinfo.com/company/g-m-f-securities-limited-44633,"68, Dilkusha, Bhuyan Center 3rd Floor,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-47113434, 47112099",Share & Security Broker House
G. I garments,https://www.bdtradeinfo.com/company/g-i-garments-46375,"Chand Mansion (5th Floor) 66, Dilkusha Commercial Area,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9551811, 9554389, 9554332",Survey Company & Surveyors
G. M Knitwear (Pvt) Ltd.,https://www.bdtradeinfo.com/company/g-m-knitwear-pvt-ltd-46376,"Plot # 99, Block # B, Bscic I/A, Shasongoan, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7602327, 7602590",Knit Wears Manufacturers & Exporters [ Knit Garments ]
G. K. Adjusters Ltd.,https://www.bdtradeinfo.com/company/g-k-adjusters-ltd-19397,"Chand Mansion (5th Floor) 66, Dilkusha Commercial Area,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9551811, 9554389, 9554332",Survey Company & Surveyors
G. M. Composite Textiles Ltd.,https://www.bdtradeinfo.com/company/g-m-composite-textiles-ltd-46377,"150, G. M Complex (3rd Floor), Green Road, Panthopath,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9662115, 9128079, 9129709, 9130257",Knit Wears Manufacturers & Exporters [ Knit Garments ]
G. M. Surgical & Science,https://www.bdtradeinfo.com/company/g-m-surgical-science-27588,"B.M.A. Bhaban, 15/2, Topkhana Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9559382, 9567096",Medical Equipment
G. Q. Marketing Ltd.,https://www.bdtradeinfo.com/company/g-q-marketing-ltd-26168,"331/2, Tajuddin Ahmed Road, Baro Moghbazar,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh",+880-2-9844630-9,Melamine Industries
