Company Name,URL,Address,Phone,Business Type
I Bazare.com,https://www.bdtradeinfo.com/company/i-bazarecom-47788,"Shop No. - 119 (1st Floor), Motaleb Plaza,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01979-242120, 01978-202123, 01975-242120, 01979-202123",Online Shopping
I Cover Zone,https://www.bdtradeinfo.com/company/i-cover-zone-50056,"Shop No: 500C/28 (3rd Floor) Motalib Plaza,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01946-376469,Mobile Phone Repair Shop
I EXPERT,https://www.bdtradeinfo.com/company/i-expert-50769,"Shop # 218 (1st Floor), Motalib Plaza, Paribag Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01710-837999,Mobile Phone Repair Shop
I & A Travels Ltd.,https://www.bdtradeinfo.com/company/i-a-travels-ltd-38418,"99, Kazi Nazrul Islam Avenue, 4th fl Kawran Bazaar,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-02-9132068-70, 9141020, 8141972",Tour Operators & Promoters
I & M General Business Ltd.,https://www.bdtradeinfo.com/company/i-m-general-business-ltd-31460,"Biman Bhaban (5th floor), 100, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7110536, 7110537",Cosmetics & Beauty Products
I L Lusion,https://www.bdtradeinfo.com/company/i-l-lusion-39684,"Basement # 2, Shop # 62, Bashundhara City,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01777-973550, 01727-207201",Mobile Telephone Set Dealers & Sellers
I Phone Studio,https://www.bdtradeinfo.com/company/i-phone-studio-50127,"Basement # 2, Shop # 62, Bashundhara City,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01777-973550, 01727-207201",Mobile Telephone Set Dealers & Sellers
I R Air Ticketing & Travel,https://www.bdtradeinfo.com/company/i-r-air-ticketing-travel-41872,"99, Karim Chamber (Ground Floor), Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9511581, 01783-339000, 01879-990004",Travel Agencies (Air Ticketing & others)
I Solutions,https://www.bdtradeinfo.com/company/i-solutions-49108,"10/5 Eastern Plaza, Sonargaon Road, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9673451, 8621756, 8618730, 01716-552385",Mobile / Cellular Phone Content Provider
I Tech Computer,https://www.bdtradeinfo.com/company/i-tech-computer-45378,"120 Dr. Khudrat-E-Khuda Road, Shop-09, Gafur Mansion (1st Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-8620555, 01819-404456",Computer Sales & Distributor
I- Max .Com Ltd.,https://www.bdtradeinfo.com/company/i-max-com-ltd-45379,"55-B, Noakhali Tower (12th Floor), Purana Palton,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7124098, 01730-710221",Computer Sales & Distributor
I-infomedia,https://www.bdtradeinfo.com/company/i-infomedia-37982,"10/5 Eastern Plaza, Sonargaon Road, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9673451, 8621756, 8618730, 01716-552385",Mobile / Cellular Phone Content Provider
I TECH SOLUTION,https://www.bdtradeinfo.com/company/i-tech-solution-49982,"120/09, Gafur Mansion (1st Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9613789, 01743-788571, 01916-828133","Computer Products, Accessories, Parts & Services"
I-Tech,https://www.bdtradeinfo.com/company/i-tech-45380,"ECS COMPUTER CITY, MUTIPLAN CENTER, SHOP# 1028, LEVEL-10, 69-71, NEW ELEPHANT ROAD,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-8615000, 01552-360261",Computer Sales & Distributor
I-Tech Computer,https://www.bdtradeinfo.com/company/i-tech-computer-38249,"120/09, Gafur Mansion (1st Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9613789, 01743-788571, 01916-828133","Computer Products, Accessories, Parts & Services"
I. F. Knit Wear (Pvt) Ltd.,https://www.bdtradeinfo.com/company/i-f-knit-wear-pvt-ltd-46449,"East Isdair, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7611892, 7612288",Knit Wears Manufacturers & Exporters [ Knit Garments ]
I. I. Tube Mills Ltd.,https://www.bdtradeinfo.com/company/i-i-tube-mills-ltd-32681,"Plot No # B-476, Road # 1, Bscic Hosiery I/E, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7602303, 7670460",Knit Wears Manufacturers & Exporters [ Knit Garments ]
I. N. Knitwear Ltd.,https://www.bdtradeinfo.com/company/i-n-knitwear-ltd-46450,"Plot No # B-476, Road # 1, Bscic Hosiery I/E, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7602303, 7670460",Knit Wears Manufacturers & Exporters [ Knit Garments ]
I. R Air Ticketing & Travel,https://www.bdtradeinfo.com/company/i-r-air-ticketing-travel-40829,"Karim Chamber (Ground Floor) 99, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9511581, 01783-339000",Hajj & Umrah Agents / Package Providers
I.I. Tube Mills Ltd,https://www.bdtradeinfo.com/company/ii-tube-mills-ltd-39062,"Hazi Kalachan Mansion, 57-58 Tipusultan Road,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+880-2-7117589, 7116007",Pipe Manufacturers
I. Trade,https://www.bdtradeinfo.com/company/i-trade-43658,"69, Dilkusha Commercial Area, Kabir Court (4th floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9553646, 9565854",Sweater Industries & Exporters
I. I. Tube Mills Ltd,https://www.bdtradeinfo.com/company/i-i-tube-mills-ltd-40228,"Hazi chan Miah Mansion, 57-58 Tipusultan Road,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+880-2-7117589, 7116007",Pipes & Tubes
I.R.M. Apparels Ltd.,https://www.bdtradeinfo.com/company/irm-apparels-ltd-18621,"69, Dilkusha Commercial Area, Kabir Court (4th floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9553646, 9565854",Sweater Industries & Exporters
I.I. Tube Mills Ltd.,https://www.bdtradeinfo.com/company/ii-tube-mills-ltd-26142,"Hazi chan Miah Mansion, 57-58 Tipusultan Road,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+880-2-7117589, 7116007",Pipes & Tubes
IB Corporation,https://www.bdtradeinfo.com/company/ib-corporation-12932,"67/F, Green Road (2nd Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9669379,Software & Customized Software Solutions
I.S.M Corporation,https://www.bdtradeinfo.com/company/ism-corporation-32885,"Sahera Tropical Center, Level# 6, Suite# 22 Bata Signal,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-02-55012664,Travel Agencies (Air Ticketing & others)
IBAIS UNIVERSITY,https://www.bdtradeinfo.com/company/ibais-university-13972,"House-21/A, Road-16 (Old-27) Dhanmondi R/A,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+880-2-9121927, 9124064, 8152325, 8127476",University
Ibcs-Primax Software (Bd) Limited,https://www.bdtradeinfo.com/company/ibcs-primax-software-bd-limited-45381,"248, Baro Moghbazar (1st floor),                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+88-02-9341187, 01711-818098, 01841-991111",Ayurvedic Products
Ibadat Tours & Travels,https://www.bdtradeinfo.com/company/ibadat-tours-travels-51085,"Sahera Tropical Center, Level# 6, Suite# 22 Bata Signal,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-02-55012664,Travel Agencies (Air Ticketing & others)
IBN Haisam Pharmaceuticals (Unani),https://www.bdtradeinfo.com/company/ibn-haisam-pharmaceuticals-unani-38951,"248, Baro Moghbazar (1st floor),                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+88-02-9341187, 01711-818098, 01841-991111",Ayurvedic Products
Ibn Sina Dental Center,https://www.bdtradeinfo.com/company/ibn-sina-dental-center-48309,"House 48, Road 9/A, Dhanmondi,                                                                                                       Dhaka- 1209,                                                                                                       Bangladesh","+88-02-48115270-2, 48114040-1,  9101950-2,  9102024-5, 88111231, 88111234, 88111247, 88111152,  88111884,  09610010615",Dental Clinic & Dentists
