Company Name,URL,Address,Phone,Business Type
K Fashions,https://www.bdtradeinfo.com/company/k-fashions-40306,"68/1, Purana Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-9514627,Fashion House
K M Health Care,https://www.bdtradeinfo.com/company/k-m-health-care-41897,"Eastern Plaza (6th Floor), 7/46, Sonargaon Road (Hatirpool),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01191-043061, 01914-178614",Healthcare Products
K-Securities and Consultants Ltd.,https://www.bdtradeinfo.com/company/k-securities-and-consultants-ltd-44687,"Suite # 604, 158-160, Motijheel C/A Modhumita Building (5th Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9576293-4,Share & Security Broker House
K B. Air International,https://www.bdtradeinfo.com/company/k-b-air-international-41772,"G-Net Tower (8th Floor), 116-117, DIT EXtn. Road, Fakirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7193063, 01817-673520",Travel Agencies (Air Ticketing & others)
K-Soft Bangladesh,https://www.bdtradeinfo.com/company/k-soft-bangladesh-45564,"B/24/A, Malibagh Chowdhury Para,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh","+880-2-8358295, 8358298",Knit Wears Manufacturers & Exporters [ Knit Garments ]
K. A. S. Knitwear Ltd.,https://www.bdtradeinfo.com/company/k-a-s-knitwear-ltd-46491,"B/24/A, Malibagh Chowdhury Para,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh","+880-2-8358295, 8358298",Knit Wears Manufacturers & Exporters [ Knit Garments ]
K S M Steel Re- Rolling Mills Ltd. (Dhaka office),https://www.bdtradeinfo.com/company/k-s-m-steel-re-rolling-mills-ltd-dhaka-office-23824,"G-nat Tower (4th Floor), 116-117, D.I.T Extersion Road Fakirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7193063, 01732-096193",Hajj & Umrah Agents / Package Providers
K. B. Air International,https://www.bdtradeinfo.com/company/k-b-air-international-39575,"G-nat Tower (4th Floor), 116-117, D.I.T Extersion Road Fakirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7193063, 01732-096193",Hajj & Umrah Agents / Package Providers
K. C. Apparels Ltd,https://www.bdtradeinfo.com/company/k-c-apparels-ltd-46492,"62, Water Works Road, Godnail,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-9752966, 7646869",Knit Wears Manufacturers & Exporters [ Knit Garments ]
K. M. Knit Fashion,https://www.bdtradeinfo.com/company/k-m-knit-fashion-46493,"Plot # B-419, Bscic I/A, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+880-2-7602833,Knit Wears Manufacturers & Exporters [ Knit Garments ]
K. M. S. Design Wear Ltd,https://www.bdtradeinfo.com/company/k-m-s-design-wear-ltd-46494,"Plot # B-419, Bscic I/A, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+880-2-7602833,Knit Wears Manufacturers & Exporters [ Knit Garments ]
K. P. F Tex,https://www.bdtradeinfo.com/company/k-p-f-tex-46496,"3, Sanaton Paul Lane,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+880-2-7613604,Knit Wears Manufacturers & Exporters [ Knit Garments ]
K. S. A. Knit Garments,https://www.bdtradeinfo.com/company/k-s-a-knit-garments-46498,"53, Motijheel C/A Modern Mansion (8th Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7169527, 7163233",Knit Wears Manufacturers & Exporters [ Knit Garments ]
K. M. Aviation Services,https://www.bdtradeinfo.com/company/k-m-aviation-services-33300,"17/2, S. M Maleh Road, Tanbazar,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7631915, 7610169, 7613475",Knit Wears Manufacturers & Exporters [ Knit Garments ]
K. S. Enterprise,https://www.bdtradeinfo.com/company/k-s-enterprise-26318,"14 Purana Paltan, Darus Salam Arcade (5th floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-7174306,Construction Companies
K. R. Knit Fashions Ltd.,https://www.bdtradeinfo.com/company/k-r-knit-fashions-ltd-46497,"17/2, S. M Maleh Road, Tanbazar,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7631915, 7610169, 7613475",Knit Wears Manufacturers & Exporters [ Knit Garments ]
K. Trade Overseas Ltd.,https://www.bdtradeinfo.com/company/k-trade-overseas-ltd-43703,"218, Sayeed Nazrul Islam Srwani, Electric Plaza, Shop No. 15, 12,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9575752, 01915-714545, 01716-377820",Security & Safety Equipment & Items
K.B.S. International,https://www.bdtradeinfo.com/company/kbs-international-43704,"292, Inner Circular Road, Shatabdi Centre (13th Floor), Suit # 13/B,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7194947, 7193158, 01713-303039, 01913-303039",Manpower Recruiting Agency
K. D. Cure centre,https://www.bdtradeinfo.com/company/k-d-cure-centre-27552,"52, Sirajudollah Road, Kalirbazar,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+880-2-7612253,Knit Wears Manufacturers & Exporters [ Knit Garments ]
K.B International,https://www.bdtradeinfo.com/company/kb-international-47950,"218, Sayeed Nazrul Islam Srwani, Electric Plaza, Shop No. 15, 12,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9575752, 01915-714545, 01716-377820",Security & Safety Equipment & Items
K. M. W Knitwear Ltd,https://www.bdtradeinfo.com/company/k-m-w-knitwear-ltd-46495,"52, Sirajudollah Road, Kalirbazar,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+880-2-7612253,Knit Wears Manufacturers & Exporters [ Knit Garments ]
K.G Progoti Air Service,https://www.bdtradeinfo.com/company/kg-progoti-air-service-46148,"3/4-A Purana Paltan, Sabbir TowerRoom # 905,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01710-958848, 01610-958848",Hajj & Umrah Agents / Package Providers
K.D. Cure Center,https://www.bdtradeinfo.com/company/kd-cure-center-22576,"48/B North Kamlapur,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh",+880-2-9353318,Medicine Stores
K.D. Cure Center,https://www.bdtradeinfo.com/company/kd-cure-center-37429,"48/B North Kamlapur,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh",+880-2-9353318,Medicine Stores
K.I. International,https://www.bdtradeinfo.com/company/ki-international-43705,"Jahan Villa (1st Floor) Fakir Bari Lane-126, Haji Mohsin Road,                                                                                                       Khulna,                                                                                                       Bangladesh","+880-41-723926, 725502","Frozen Foods, Vegetables & Fish"
K.H.B. Securities Ltd.,https://www.bdtradeinfo.com/company/khb-securities-ltd-44689,"39, Northbrok hall road, Banglabazar,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh",+88-02-7112963,College
K.M. Ali & Co,https://www.bdtradeinfo.com/company/km-ali-co-10070,"Jahan Villa (1st Floor) Fakir Bari Lane-126, Haji Mohsin Road,                                                                                                       Khulna,                                                                                                       Bangladesh","+880-41-723926, 725502","Frozen Foods, Vegetables & Fish"
K.l. Jubilee School and College,https://www.bdtradeinfo.com/company/kl-jubilee-school-and-college-42795,"39, Northbrok hall road, Banglabazar,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh",+88-02-7112963,College
