Company Name,URL,Address,Phone,Business Type
L. Rahman Jewellers,https://www.bdtradeinfo.com/company/l-rahman-jewellers-22275,"65 Baitul Mukarram (Ground floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9555868, 9563454",Imitation Ornaments
L V Technology,https://www.bdtradeinfo.com/company/l-v-technology-39511,"177, Sahid Sayed Nazrul Islam Sarani 30, Bijoynagar,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh",+88-01711-542273,Garments Accessories Supplier
L & C Fashions,https://www.bdtradeinfo.com/company/l-c-fashions-46558,"Room no # 21 (4th Floor), Ramna bhaban, 45, b. B Avenue,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7162111, 7160862, 7161128, 8931124",Knit Wears Manufacturers & Exporters [ Knit Garments ]
L. B. Trade Link International,https://www.bdtradeinfo.com/company/l-b-trade-link-international-38838,"Flat-3/D, House-6, Road-14/A Sector-4,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+88-01714-002690,Machinery & Machine Tools
L & C Fashion,https://www.bdtradeinfo.com/company/l-c-fashion-34197,"Room # 21 (4th floor) Ramna Bhaban, 45, B.B. Avenue,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7160862, 7162111",Readymade Garments
L.B. Group,https://www.bdtradeinfo.com/company/lb-group-43735,"Associate Professor, Armd Forces Medical College, Cham # Lab Aid Cardiac Hospital, House # 1, Road # 4, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8610793,Doctors - Medicine
L.Cornel Dr. Mamun Mustafi,https://www.bdtradeinfo.com/company/lcornel-dr-mamun-mustafi-20564,"Associate Professor, Armd Forces Medical College, Cham # Lab Aid Cardiac Hospital, House # 1, Road # 4, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8610793,Doctors - Medicine
L.Cornel Dr. Mamun Mustafi,https://www.bdtradeinfo.com/company/lcornel-dr-mamun-mustafi-20565,"Associate Professor, Armd Forces Medical College, Cham # Lab Aid Cardiac Hospital, House # 1, Road # 4,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8610793,Doctors - Urology
Lab Aid Cardiac Hospital,https://www.bdtradeinfo.com/company/lab-aid-cardiac-hospital-30334,"House # 1, Road # 4, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8617066,Hospital
L.R Rubber Industries,https://www.bdtradeinfo.com/company/lr-rubber-industries-40397,"30, Dabidas Gatlane,                                                                                                       Dhaka- 1211,                                                                                                       Bangladesh","+88-02-7315111, 01671-757212, 01552-478368",Micro Sheet Manufacturers
La Vista Hotel,https://www.bdtradeinfo.com/company/la-vista-hotel-48075,"VIP Road, Lamabazar opposite Lamabazar Police Fari,                                                                                                       Sylhet- 3100,                                                                                                       Bangladesh",+88-01933-009977,Resorts
La-Sany Furniture,https://www.bdtradeinfo.com/company/la-sany-furniture-14474,"House # 01, Road # 04, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-58610793-8,Diagnostic Centers
Lab Aid Diagnostic Center Ltd.,https://www.bdtradeinfo.com/company/lab-aid-diagnostic-center-ltd-16110,"House # 01, Road # 04, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-58610793-8,Diagnostic Centers
LAB ASIA Science & Technology Corporation,https://www.bdtradeinfo.com/company/lab-asia-science-technology-corporation-49211,"34/A,  AL-NOOR Center (Ground Floor) Shop No-1, Ittefaq Moor, Tikatuli,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+88-01885-702014, 01685-317496",Scientific Equipment / Instruments / Products
Lab Equipment Of Bangladesh,https://www.bdtradeinfo.com/company/lab-equipment-of-bangladesh-51418,"Russell Center (3rd Floor) 27, Shahid Nazrul Islam Road, Hatkhola,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01722-840410,Scientific Equipment / Instruments / Products
Lab.excel,https://www.bdtradeinfo.com/company/labexcel-38567,"34 Nawab Mansion (1st Floor) Green Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01679-427480, 01784-212178",Diagnostic Centers
LABAID,https://www.bdtradeinfo.com/company/labaid-49625,"House-1, Road-No-4,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9676356, 58610793-8",Hospital
Labaid Group,https://www.bdtradeinfo.com/company/labaid-group-20579,"House # 13/A, Road # 35, Gulshan # 2,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+880-2-8835981-4, 9858943, 01766-62525",Hospital
"Labaid Medical Center, Gulshan Ltd.",https://www.bdtradeinfo.com/company/labaid-medical-center-gulshan-ltd-47402,"House # 13/A, Road # 35, Gulshan # 2,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+880-2-8835981-4, 9858943, 01766-62525",Hospital
Labaid Specialied Hospital,https://www.bdtradeinfo.com/company/labaid-specialied-hospital-47373,"House # 6, Road # 4, Dhanmondi,                                                                                                       Dhaka- 12105,                                                                                                       Bangladesh","+880-2-9676356, 58610793-8",Hospital
LABAID Specialized Hospital,https://www.bdtradeinfo.com/company/labaid-specialized-hospital-49166,"House- 06, Road-04,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9676356, 58610793-8, 01713-333337, 01766-662111",Hospital
Labangu,https://www.bdtradeinfo.com/company/labangu-39194,"House No- 2, Road No- 16 Shekh Kamal Sarani,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9115933, 9143179, 01819-221686",Restaurant
Labbaik International,https://www.bdtradeinfo.com/company/labbaik-international-43736,"Paramount Heights, 3rd Floor, Suite 3C2, 65/2/1, Box Culvert Road, Purana Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9557668, 7111982, 7122440, 7120036, 01711-560635, 01619-311453",Manpower Recruiting Agency
Labbaik Overseas Ltd.,https://www.bdtradeinfo.com/company/labbaik-overseas-ltd-40643,"Paramount Heights (3rd Floor), Suite 3C2, 65/2, Box Calvert Road, Purana Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7111982, 7122440, 01711-560635",Travel Agencies (Air Ticketing & others)
LABCO SURGICAL,https://www.bdtradeinfo.com/company/labco-surgical-50025,"18/2, Topkhana Road (Beside BMA Bhaban), Macca Surgical Market 1st Floor,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01976-861053,Medical Disposable Items
Labcom Technology,https://www.bdtradeinfo.com/company/labcom-technology-45576,"63 Green Corner, Green Road, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9121611-5, 01712-048020",Computer Sales & Distributor
Labbaik Travels & Tours,https://www.bdtradeinfo.com/company/labbaik-travels-tours-41909,"Paramount Heights (3rd Floor), Suite 3C2, 65/2, Box Calvert Road, Purana Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7111982, 7122440, 01711-560635",Travel Agencies (Air Ticketing & others)
Labib Hajj Overseas,https://www.bdtradeinfo.com/company/labib-hajj-overseas-40605,"Ahmed Mansion, 3rd Floor, 46, Kazi Nazrul Islam Avenue, Karwan Bazar C/A,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-02-9140062, 01925-928414",Hajj & Umrah Agents / Package Providers
Labib International,https://www.bdtradeinfo.com/company/labib-international-43737,"Rahmania International Complex, 3rd Floor, Room No. 11-12, 28/1-C, Toyenbee Circular Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9531254, 01711-460401",Manpower Recruiting Agency
LABOMED,https://www.bdtradeinfo.com/company/labomed-42320,"236 Dhaka New Market,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8626301,Imitation Ornaments
Laboni Jewellers,https://www.bdtradeinfo.com/company/laboni-jewellers-22350,"236 Dhaka New Market,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8626301,Jewelry (Gold / Diamond)
Laboni Jewellers,https://www.bdtradeinfo.com/company/laboni-jewellers-22295,"236 Dhaka New Market,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8626301,Imitation Ornaments
Labonti Enterprise,https://www.bdtradeinfo.com/company/labonti-enterprise-40986,"49, Motijheel C/A, 7th Floor, Room no. 808A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9564347, 01914-046473",Machinery & Machine Tools
Laboratory Chemical Company,https://www.bdtradeinfo.com/company/laboratory-chemical-company-51519,"Kader Tropical (Ground Floor) 10, Hatkhola Road,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh",+88-01685-079842,Chemicals
Laboratory Chemical,https://www.bdtradeinfo.com/company/laboratory-chemical-50388,"10, Shahid Nazrul Islam Sarak, Kader Tropical, Hatkhola Road, Wari,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+88-01660-147524, 01734-683895, 01601-190201",Scientific Equipment / Instruments / Products
Labtech Trading Company,https://www.bdtradeinfo.com/company/labtech-trading-company-51496,"Office: 83/B, Siddeswari Circular Road Mouchak Tower (1st Floor), Malibagh More,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh",+88-01636-502308,Medical Disposable Items
Labour Hosiery & Germents,https://www.bdtradeinfo.com/company/labour-hosiery-germents-32816,"218, Elephant Road, Bata Signal, Shahera Tropical Home, Shop No # 06 (6th Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01827-340395, 01726-239998",Marriage Goods
LABTEX SCIENTIFIC WORLD,https://www.bdtradeinfo.com/company/labtex-scientific-world-49760,"10, Shahid Nazrul Islam Sarak, Kader Tropical, Hatkhola Road, Wari,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+88-01660-147524, 01734-683895, 01601-190201",Scientific Equipment / Instruments / Products
Labune Wedding Shop,https://www.bdtradeinfo.com/company/labune-wedding-shop-46802,"218, Elephant Road, Bata Signal, Shahera Tropical Home, Shop No # 06 (6th Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01827-340395, 01726-239998",Marriage Goods
"Ladaid Ltd. (Diagnostic), Mirpur",https://www.bdtradeinfo.com/company/ladaid-ltd-diagnostic-mirpur-47395,"Plot # 09, Section # B, Mirpur # 01,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+880-2-9027550-3, 01766-662888",Diagnostic Centers
Lafarge Surma Cement Ltd.,https://www.bdtradeinfo.com/company/lafarge-surma-cement-ltd-28510,"NinaKabbo, Level-7, 227/A, Bir Uttam Mir Shawkat Sarak (Tejgaon gulshan Link Road),                                                                                                       Dhaka- 1208,                                                                                                       Bangladesh",+880-2-9881002-3,"Cement Manufacturers, Distributors & Exporters"
Lagan-1,https://www.bdtradeinfo.com/company/lagan-1-46804,"Dhaka,                                                                                                       Bangladesh",,Shopping Center / Shopping Mall
Lagan-2,https://www.bdtradeinfo.com/company/lagan-2-46803,"218, Elephant Road, Bata Signal, Shahera Tropical Center,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01757-639460, 01811-959092",Marriage Goods
Laila Plaza,https://www.bdtradeinfo.com/company/laila-plaza-47436,"Dhaka,                                                                                                       Bangladesh",,Shopping Center / Shopping Mall
Laila Sanitary & Hardware,https://www.bdtradeinfo.com/company/laila-sanitary-hardware-25454,"318 Sonargaon Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9673910, 01715-011508, 01716-461458",Sanitary Ware & Tiles Industries
Lake Terrace,https://www.bdtradeinfo.com/company/lake-terrace-48107,"House 25/E, Lake Dr Road,                                                                                                       Dhaka,                                                                                                       Bangladesh",+880-01618-377223,Restaurant
Lakhma Knit Wear,https://www.bdtradeinfo.com/company/lakhma-knit-wear-46559,"Volile, Kashipur, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7670387, 7670389",Knit Wears Manufacturers & Exporters [ Knit Garments ]
