Company Name,URL,Address,Phone,Business Type
M & H Telecom Ltd,https://www.bdtradeinfo.com/company/m-h-telecom-ltd-38350,"Ismail Mansion (3rd floor) 32, Mohakhali C/A,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh","+88-02-9886913, 01755-500628",Telecommunication Systems & Equipment
M & D Apparels Ltd,https://www.bdtradeinfo.com/company/m-d-apparels-ltd-46581,"B-29, Bscic Industrial Area, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7602334, 7602334",Knit Wears Manufacturers & Exporters [ Knit Garments ]
M & Z Securities Limited,https://www.bdtradeinfo.com/company/m-z-securities-limited-44737,"Suite # 202 (1st Floor), 9/E, Moitjheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9131381, 9140495, 9558741, 9550247, 01714-46384",Share & Security Broker House
M B CORPORATION,https://www.bdtradeinfo.com/company/m-b-corporation-49862,"F-2B, House # 41, Road 13, Block # D, Banani,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+88-01623-931813,"Exporter, Importer & Indentor (Multi Products)"
M & S Enterprises,https://www.bdtradeinfo.com/company/m-s-enterprises-43806,"55/1, Purana Paltan, 6th Floorp,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9513695, 01713-689988, 01732-946800",Manpower Recruiting Agency
M B Knit Fashion,https://www.bdtradeinfo.com/company/m-b-knit-fashion-46582,"Rahman Garden, 47, Central Bashabo Shobujbag,                                                                                                       Dhaka- 1214,                                                                                                       Bangladesh","+88-01776-380833, 01914-628379",Real Estate Firms / Developers
M H Motors,https://www.bdtradeinfo.com/company/m-h-motors-47738,"Shahansha Complex, 169 Sahid Sayed Nazrul Sharani,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-47120055, 01750-119781",Motor Control System & Automation Equipment
M M Islam Plaza,https://www.bdtradeinfo.com/company/m-m-islam-plaza-47470,"Dhaka,                                                                                                       Bangladesh",,Shopping Center / Shopping Mall
M Builders & Consultant,https://www.bdtradeinfo.com/company/m-builders-consultant-39691,"Rahman Garden, 47, Central Bashabo Shobujbag,                                                                                                       Dhaka- 1214,                                                                                                       Bangladesh","+88-01776-380833, 01914-628379",Real Estate Firms / Developers
M Rahman Steel Mills Ltd.,https://www.bdtradeinfo.com/company/m-rahman-steel-mills-ltd-39113,"Chand Mansion (5th floor), 66 Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9552753, 01819-214097",Shipping Company / Agents
M S Shipping Agency Ltd.,https://www.bdtradeinfo.com/company/m-s-shipping-agency-ltd-19126,"Chand Mansion (5th floor), 66 Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9552753, 01819-214097",Shipping Company / Agents
