Company Name,URL,Address,Phone,Business Type
O2 Exploration (Pvt) Ltd.,https://www.bdtradeinfo.com/company/o2-exploration-pvt-ltd-39704,"42-43 Siddeshwari Circular Road, Treasure Islam, 2nd Floor, Room No 241-242-245 (Opposite Twin Tower & Top of Bank Asia), Shantinagar,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh","+88-01817-503907, 01746-565440",Tour Operators & Promoters
Oaimoy Telecom,https://www.bdtradeinfo.com/company/oaimoy-telecom-43783,"Motalib Plaza, 549, 4th Floor, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9668016, 01974-440111, 01882-399815",Mobile Telephone Set Dealers & Sellers
O.T.M. Bangladesh,https://www.bdtradeinfo.com/company/otm-bangladesh-46793,"100, Matijheel, C/A, Biman Bhaban (7th Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9553370,Knit Wears Manufacturers & Exporters [ Knit Garments ]
O-Sons International,https://www.bdtradeinfo.com/company/o-sons-international-43962,"334, Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-8625241, 8625242",Manpower Recruiting Agency
O Kitchen Restaurant,https://www.bdtradeinfo.com/company/o-kitchen-restaurant-42277,"Rd 79, House 5, Gulshan 2,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+88-02-8097567, 01963-999333",Restaurant (Mobile)
Oanna Trading,https://www.bdtradeinfo.com/company/oanna-trading-39653,"150 Nahar Mansion,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-0177-1355100,Water Filter & Purifier
Oasia Water Technology,https://www.bdtradeinfo.com/company/oasia-water-technology-51629,"150 Nahar Mansion,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-0177-1355100,Water Filter & Purifier
Oasis Air Services,https://www.bdtradeinfo.com/company/oasis-air-services-38454,"30/A, Naya Paltan, Sattar Center (9th floor), VIP Road, Hotel Victory,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9337933, 9343854, 01713-005821",Tour Operators & Promoters
Oasis Telecom,https://www.bdtradeinfo.com/company/oasis-telecom-50961,"Gulshan Shopping Center,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01770-169520,Mobile Phone Repair Shop
Oasis Services,https://www.bdtradeinfo.com/company/oasis-services-43963,"House No. 15, Road No. 5, Block F,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh","+88-02-9870952, 01711-532065",Manpower Recruiting Agency
Oasis Industries Ltd,https://www.bdtradeinfo.com/company/oasis-industries-ltd-27540,"18, Lalbag,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-8827159, 9330048-9",Mineral Water Manufacturers
Oasis Tours & Travels,https://www.bdtradeinfo.com/company/oasis-tours-travels-17246,"Baitul Abed Buliding (3rd Floor), 53 Purana Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9560921, 9552268",Travel Agencies (Air Ticketing & others)
Oasis Apparels Ltd,https://www.bdtradeinfo.com/company/oasis-apparels-ltd-46794,"3, Sanatha Paul Lane,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-9334623, 7616509, 7613604, 7611443",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Obaid Machinery Store,https://www.bdtradeinfo.com/company/obaid-machinery-store-32375,"107, Imperial Super Market, Nawabpur,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh",+880-2-7125787,Power Tillers & Tractors
Oasis Trade Ltd.,https://www.bdtradeinfo.com/company/oasis-trade-ltd-43964,"A.R. Khan Trade Center, 2nd Floor, 40/1, Naya Paltan, V.I.P. Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-8315778, 01711-352154",Manpower Recruiting Agency
Obeid Knitwear (Pvt) Ltd.,https://www.bdtradeinfo.com/company/obeid-knitwear-pvt-ltd-46795,"3, Sanatha Paul Lane,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-9334623, 7616509, 7613604, 7611443",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Oblique Aqua Engineering Ltd,https://www.bdtradeinfo.com/company/oblique-aqua-engineering-ltd-50409,"SARE Apon Heights, Flat-14C, House-27/1/B, Road-03, Shyamoli,                                                                                                       Dhaka- 1207,                                                                                                       Bangladesh",+88-01818-952619,Cooling Tower Chemical
Obokash Travel Agency,https://www.bdtradeinfo.com/company/obokash-travel-agency-51634,"Tower-A (5th Floor/South), House-13, Road-17, Banani,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+88-09648700700,Travel Agencies (Air Ticketing & others)
"OC, Amatali Police station",https://www.bdtradeinfo.com/company/oc-amatali-police-station-37575,"Barguna,                                                                                                       Bangladesh","+88-04452-56002, 01713-374354",Police Station
"OC, Barguna Sadar Thana",https://www.bdtradeinfo.com/company/oc-barguna-sadar-thana-37574,"Barguna,                                                                                                       Bangladesh","+88-0448-62255, 01713-374353",Police Station
Obokash.com,https://www.bdtradeinfo.com/company/obokashcom-50566,"Tower-A (5th Floor/South), House-13, Road-17, Banani,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+88-09648700700,Travel Agencies (Air Ticketing & others)
"OC, Basna Police station",https://www.bdtradeinfo.com/company/oc-basna-police-station-37577,"Chapai Nawabganj,                                                                                                       Bangladesh",+88-0781-55220,Police Station
"OC, kotoyali Model Police station",https://www.bdtradeinfo.com/company/oc-kotoyali-model-police-station-37689,"Mymensingh,                                                                                                       Bangladesh","+88-01713-373430, 67761",Police Station
"OC, Betagi Police station",https://www.bdtradeinfo.com/company/oc-betagi-police-station-37576,"Barguna,                                                                                                       Bangladesh","+88-04454-56001, 01713374356",Police Station
"OC, Nawabganj Sadar Thana",https://www.bdtradeinfo.com/company/oc-nawabganj-sadar-thana-37592,"Chapai Nawabganj,                                                                                                       Bangladesh",+88-0781-55220,Police Station
"OC, Munsiganj Sadar Thana",https://www.bdtradeinfo.com/company/oc-munsiganj-sadar-thana-37687,"Barguna,                                                                                                       Bangladesh","+88-04456-56030, 01713-374358",Police Station
"OC, Taltali Police station",https://www.bdtradeinfo.com/company/oc-taltali-police-station-37578,"Barguna,                                                                                                       Bangladesh","+88-04456-56030, 01713-374358",Police Station
Ocean Accessories Ltd.,https://www.bdtradeinfo.com/company/ocean-accessories-ltd-50762,"Flat# 2A, House# 41, Road# 13, Block# D,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+88-02-8836698,Garments Accessories Supplier
"OC, PS kotayali",https://www.bdtradeinfo.com/company/oc-ps-kotayali-37706,"524, Ashkona, Dakhin Khan,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+880-2-01711-526439,Computer Sales & Distributor
Ocean Gate Sweaters Ltd.,https://www.bdtradeinfo.com/company/ocean-gate-sweaters-ltd-46796,"House # 12, Road # 05, Sector # 1, Uttara,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+880-2-8919907,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Ocanic Group Inc.,https://www.bdtradeinfo.com/company/ocanic-group-inc-17393,"2/F Sayeda Court, 28 Agrabad C/A,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh","+880-31-710267, 502245",Shipping Company / Agents
