Company Name,URL,Address,Phone,Business Type
P & P Associates Consulting Ltd.,https://www.bdtradeinfo.com/company/p-p-associates-consulting-ltd-39756,"Level - 16, Suite - 05 13/A Bir Uttam C.R. Datta Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9613058, 9635120, 01911-012249","Consultant - Financial, Corporate Affairs & Legal"
P. M. Apparels (Pvt) Ltd,https://www.bdtradeinfo.com/company/p-m-apparels-pvt-ltd-46840,"56, A. C Dhar Road, Kalir Bazar,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7632110, 9752503",Knit Wears Manufacturers & Exporters [ Knit Garments ]
P S Tech,https://www.bdtradeinfo.com/company/p-s-tech-10654,"147/1, Old Airport(VIP) Road, Bijoy Sarani,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+880-2-8122349-50, 9127675 (9891353)",Clearing & Forwarding Agents (C & F agent / CNF Agent)
P C shop (pvt)Limited,https://www.bdtradeinfo.com/company/p-c-shop-pvtlimited-12347,"930/31 Sk Mujib Road, Sayed complex (3rd floor),                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh",+880-31-710730,Computer Sales & Distributor
P. H. B Corporation,https://www.bdtradeinfo.com/company/p-h-b-corporation-39590,"H/79, Block F, Room No 15, New Air Port Road, Chairman Bari,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh","+88-02-8856083, 9886735, 01711-876962, 01911-487976",Manpower Recruiting Agency
P. M. C. Export Import Ltd.,https://www.bdtradeinfo.com/company/p-m-c-export-import-ltd-46841,"56 A. C. Dhar Road, Kalir bazar,                                                                                                       Dhaka- 1400,                                                                                                       Bangladesh","+880-2-7646395, 7646267",Knit Wears Manufacturers & Exporters [ Knit Garments ]
P. M. Knittex (pvt.) Limited.,https://www.bdtradeinfo.com/company/p-m-knittex-pvt-limited-46842,"56 A. C. Dhar Road, Kalir bazar,                                                                                                       Dhaka- 1400,                                                                                                       Bangladesh","+880-2-7646395, 7646267",Knit Wears Manufacturers & Exporters [ Knit Garments ]
P. M. Traders,https://www.bdtradeinfo.com/company/p-m-traders-38931,"16/2, S. M. Maleh Road, Tranbazar,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+88-02-7635008, 7632415, 01711-534013",Yarn-Cotton / Synthetic
P.m. Corporation,https://www.bdtradeinfo.com/company/pm-corporation-45728,"304, Elephant Road (2nd Floor), Opposite Of Mercantile Bank,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9613022, 01713-047552",Computer Sales & Distributor
P. S. Butterfly,https://www.bdtradeinfo.com/company/p-s-butterfly-41649,"Gulistan Shopping Complex (Hoqu Market), Ground Floor, 2 B. B. Avenue, Gulistan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-01733-279143, 01921-491015, 01711-357645",Sweater Machinery
P.G.S Limited,https://www.bdtradeinfo.com/company/pgs-limited-11105,"14 Rajuk Avenue (4th Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9551676,"Exporter, Importer & Indentor (Multi Products)"
P.N. Enterprise Company Dhaka Ltd.,https://www.bdtradeinfo.com/company/pn-enterprise-company-dhaka-ltd-43979,"Mahtab Centre (5th Floor), 177, Shahid Syed Nazrul Islam Sharani, Bijoy Naga,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9354953, 8332906, 01713-005037",Manpower Recruiting Agency
P.M.P. International Company,https://www.bdtradeinfo.com/company/pmp-international-company-43978,"Elite House (5th floor), 54 Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9575793, 01552-327715, 01950-199707, 01711-196314",Sound Equipment
P.S TRADING CENTER,https://www.bdtradeinfo.com/company/ps-trading-center-49936,"246, Nababpur Road , Rothkhola Mor,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh",+88-01855-000002,Hardware & Machinery
PA Sound System Authorized Dealer Price in Bangladesh,https://www.bdtradeinfo.com/company/pa-sound-system-authorized-dealer-price-in-bangladesh-37067,"Elite House (5th floor), 54 Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9575793, 01552-327715, 01950-199707, 01711-196314",Sound Equipment
PA Sound System In bd,https://www.bdtradeinfo.com/company/pa-sound-system-in-bd-51311,"1st floor) Shop No. 24, Gafur Mansion, 120,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01872-730300,PABX System & Equipment
PA System  Bangladesh,https://www.bdtradeinfo.com/company/pa-system-bangladesh-51190,"House#01 (Ground Floor), Road#20/B, Sector#04,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+88-01711-766062,Sound Equipment
Pabna Auto Electric Works & Spare Parts Seller,https://www.bdtradeinfo.com/company/pabna-auto-electric-works-spare-parts-seller-21556,"76, Shahid Faroq Toslim Road (D.I.T Road) A.M. Plaza, Dokan 103, 104,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh","+88-02-8311005, 01710-673757","Medicine Importers, Exporters & Distributors"
Pabona Patical Center,https://www.bdtradeinfo.com/company/pabona-patical-center-38229,"76, Shahid Faroq Toslim Road (D.I.T Road) A.M. Plaza, Dokan 103, 104,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh","+88-02-8311005, 01710-673757","Medicine Importers, Exporters & Distributors"
Pacific (BD) Telecom Ltd.,https://www.bdtradeinfo.com/company/pacific-bd-telecom-ltd-35748,"Bangladesh Pacific Telecom Center (13th floor), 14, Mohakhali,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+880-2-8825281-2, 882186-7",Telecommunication Systems & Equipment
Pacific A-1 Group,https://www.bdtradeinfo.com/company/pacific-a-1-group-39759,"Planners Tower, 8th Floor, 13/A Sonargaon Road, Banglamotor,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-8625426, 8625336, 8625527, 01755-647640, 01716-328706",Footwear & Footwear Accessories Importers
Pacific Associates Ltd.,https://www.bdtradeinfo.com/company/pacific-associates-ltd-15686,"City Heart, 6th Floor, 67 Nayapaltan, VIP Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9335411-4, 8321372-3",Garments Machinery
