Company Name,URL,Address,Phone,Business Type
Q Pail Ltd.,https://www.bdtradeinfo.com/company/q-pail-ltd-49026,"Plot # B 196, BSCIC Industrial Area, Tongi,                                                                                                       Gazipur- 1700,                                                                                                       Bangladesh","+88 01819312914, +88 01680240524",Tin Printing & Tin Container / Can manufacturer
Q Pail Limited,https://www.bdtradeinfo.com/company/q-pail-limited-42187,"Plot # B 196, BSCIC Industrial Area, Tongi,                                                                                                       Gazipur- 1700,                                                                                                       Bangladesh","+88-01819-312914, 01680-240524",Hanger
Q.K. Quick Express Ltd.,https://www.bdtradeinfo.com/company/qk-quick-express-ltd-44021,"53, D.I.T. Extension Road, 2nd Floor,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9359031, 01812-221950",Manpower Recruiting Agency
Q-SOFT,https://www.bdtradeinfo.com/company/q-soft-12985,"7/10, Block-A, Lalmatia, Mirpur Road,                                                                                                       Dhaka- 1207,                                                                                                       Bangladesh","+880-2-8113837, 9123827",Software & Customized Software Solutions
Qazi Hardware and Tools,https://www.bdtradeinfo.com/company/qazi-hardware-and-tools-50817,"Sharif Mansion, 56 / 57 , Motijheel C/ A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-9551408,Break Bulk Agent
QC Shipping Limited,https://www.bdtradeinfo.com/company/qc-shipping-limited-42097,"Sharif Mansion, 56 / 57 , Motijheel C/ A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-9551408,Break Bulk Agent
Qos Enterprise,https://www.bdtradeinfo.com/company/qos-enterprise-45784,"Multiplan Centre, Level # 7, Shop # 704, 69-71 New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9613075, 01911-425595",Computer Sales & Distributor
QR Bangladesh Swimming Pool Store,https://www.bdtradeinfo.com/company/qr-bangladesh-swimming-pool-store-49077,"Ka-177, Mia bari Road , Kuril Vatara,                                                                                                       Dhaka- 1229,                                                                                                       Bangladesh","+88-01857-888897, 01743-750560, 01743-750555","Swimming Pool Equipment Supply, Construction & Installation"
QNS Container Services Limited,https://www.bdtradeinfo.com/company/qns-container-services-limited-17580,"Plot # 14-16, Sector-1, CEPZ,                                                                                                       Chittagong,                                                                                                       Bangladesh","+880-31-740938, 740429, 741235-6",Companies of EPZ
Qatar Airways Bangladesh,https://www.bdtradeinfo.com/company/qatar-airways-bangladesh-17030,"House # 118, Gulshan Avenue, Gulshan # 2,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+880-2-8825361, 8811885",Alarm & Alarm Systems
