Company Name,URL,Address,Phone,Business Type
R & A Traders,https://www.bdtradeinfo.com/company/r-a-traders-25900,"Suite# 203 (1st Floor), 9/E, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9565899, 9560120",Cotton Suppliers
R & A Traders,https://www.bdtradeinfo.com/company/r-a-traders-11134,"Room # 506 (4th Floor) Stock Exchange Building, 9 /E, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9560126, 9565899, 9564619","Exporter, Importer & Indentor (Multi Products)"
R & R Aviation,https://www.bdtradeinfo.com/company/r-r-aviation-42987,"General Aviation, Hazrat Shajalal International Airport,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh",+88-02-8901725,Airlines
R & J Sweater Ltd.,https://www.bdtradeinfo.com/company/r-j-sweater-ltd-46949,"A-79, Bscic I/E, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7614677, 7601359, 7601344",Knit Wears Manufacturers & Exporters [ Knit Garments ]
R & R International Company,https://www.bdtradeinfo.com/company/r-r-international-company-44022,"312, 313, 315, Alpana Plaza (2nd Floor), 51 New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9675247, 01716-994588",Computer Sales & Distributor
R - One Computer,https://www.bdtradeinfo.com/company/r-one-computer-40742,"312, 313, 315, Alpana Plaza (2nd Floor), 51 New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9675247, 01716-994588",Computer Sales & Distributor
R Data Technology,https://www.bdtradeinfo.com/company/r-data-technology-45786,"Shop # 634-635, Level # 6, Multiplan Center, Ecs Computer City, 69-71 New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-8621469, 01711-003845",Computer Sales & Distributor
R S Multivision,https://www.bdtradeinfo.com/company/r-s-multivision-41873,"R9F8+JQ4, Road No.12,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01711-261633,Event Management
R N I Securities Limited,https://www.bdtradeinfo.com/company/r-n-i-securities-limited-44820,"Room # 728 (6th floor), 9/E, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9558752, 9576173, 9576183, 9564601, 7175703-11, 01912-372605, 01927-594247",Share & Security Broker House
R & C Co. Ltd.,https://www.bdtradeinfo.com/company/r-c-co-ltd-17573,"Modern Mansion (9th floor) 53, Motijheel C/A, Room 5,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9557554, 01925-786087",Cotton Mills
R. A. Apparels Ltd,https://www.bdtradeinfo.com/company/r-a-apparels-ltd-46950,"Jiban Bima Bhaban(3rd Floor), 10, Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7171184-5, 9571634-6, 9555890, 9558535",Knit Wears Manufacturers & Exporters [ Knit Garments ]
R. B Knitwears,https://www.bdtradeinfo.com/company/r-b-knitwears-46951,"65/11, Nayamati,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+880-2-7645056,Knit Wears Manufacturers & Exporters [ Knit Garments ]
R Enterprise,https://www.bdtradeinfo.com/company/r-enterprise-41016,"Modern Mansion (9th floor) 53, Motijheel C/A, Room 5,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9557554, 01925-786087",Cotton Mills
R. B. Composite Textiles Ltd.,https://www.bdtradeinfo.com/company/r-b-composite-textiles-ltd-46952,"Jiban Bima Bhaban(3rd Floor), 10, Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7171184-5, 9571634-6, 9555890, 9558535",Knit Wears Manufacturers & Exporters [ Knit Garments ]
R. B. L Fashion Wear,https://www.bdtradeinfo.com/company/r-b-l-fashion-wear-46953,"28, Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9552244, 9559770",Jute Carpet
R. K Fashion Ltd.,https://www.bdtradeinfo.com/company/r-k-fashion-ltd-46954,"Chowdhury Bari, Godnail,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7642830, 7642832, 7634565, 7634568, 7642046",Knit Wears Manufacturers & Exporters [ Knit Garments ]
R. K. Jute Mills Ltd.,https://www.bdtradeinfo.com/company/r-k-jute-mills-ltd-33107,"28, Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9552244, 9559770",Jute Carpet
R. K. Logistic & Cargo Services,https://www.bdtradeinfo.com/company/r-k-logistic-cargo-services-39011,"City Heart (11th Floor), Suite No 12/3, 67 Naya Paltan, V.I.P Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9340603, 8321734",Logistic Support
R. K. Motors (Pvt.) Ltd.,https://www.bdtradeinfo.com/company/r-k-motors-pvt-ltd-35115,"484, DIT Road (3rd floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9342869,CNG Conversion Centers
R. K Knitwear Ltd,https://www.bdtradeinfo.com/company/r-k-knitwear-ltd-46955,"10/F, Saidabad, Dhaka -1100,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+88-02-7544816, 01728-11100, 01819-908046, 01712-615358",College
R. M. Agencies,https://www.bdtradeinfo.com/company/r-m-agencies-26343,"187, Siddique Bazer, North South Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7110879, 01712-935598",Tarpaulin & Tents
R. M. Food Products Limited,https://www.bdtradeinfo.com/company/r-m-food-products-limited-14404,"62/1, Purana Paltan (3rd Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9566087-88, 9561458",Food Products
R. K. CHOWDHURY COLLEGE,https://www.bdtradeinfo.com/company/r-k-chowdhury-college-42825,"10/F, Saidabad, Dhaka -1100,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+88-02-7544816, 01728-11100, 01819-908046, 01712-615358",College
R. K. Tours & Travels Service,https://www.bdtradeinfo.com/company/r-k-tours-travels-service-14840,"Planners Tower, Fl # 16th, Suite # 01, 13/ A Sonargaon Road,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+88-02-9661117, 9660487, 01819-499726, 01715-457374","Exporter, Importer & Indentor (Multi Products)"
R. N. Trading Limited,https://www.bdtradeinfo.com/company/r-n-trading-limited-44821,"Room # 416 & 418, Stock Exchange Building, 9/F, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7110419, 9576232, 9515259, 7110416, 9576210-20, 0171-1536207",Share & Security Broker House
R. M. International,https://www.bdtradeinfo.com/company/r-m-international-41906,"Planners Tower, Fl # 16th, Suite # 01, 13/ A Sonargaon Road,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+88-02-9661117, 9660487, 01819-499726, 01715-457374","Exporter, Importer & Indentor (Multi Products)"
R. P. Fashion,https://www.bdtradeinfo.com/company/r-p-fashion-46956,"21/A, Topkhana Road, Mahbub Plaza, 1st Floor,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-9571086,"Exporter, Importer & Indentor (Multi Products)"
R. S Impex,https://www.bdtradeinfo.com/company/r-s-impex-39745,"21/A, Topkhana Road, Mahbub Plaza, 1st Floor,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-9571086,"Exporter, Importer & Indentor (Multi Products)"
R. S. Knitwear (Pvt) Ltd.,https://www.bdtradeinfo.com/company/r-s-knitwear-pvt-ltd-46958,"A-1, Bscic Hosiery I/E, Shasongoan, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-47670100, 47601082, 47670200",Knit Wears Manufacturers & Exporters [ Knit Garments ]
R. T. S. Trading,https://www.bdtradeinfo.com/company/r-t-s-trading-45549,"29, Toyenbee Circular Road, Corner Court (2nd Floor), Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01711-854424,Photocopying & Spiral Binding Centers
R. T. M Fashion Wear Ltd,https://www.bdtradeinfo.com/company/r-t-m-fashion-wear-ltd-46959,"77/2, B. B Road, Green Super Market (4th & 5th Floor),                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7614520, 7611284, 7611282",Knit Wears Manufacturers & Exporters [ Knit Garments ]
R. R. Clothing Ltd,https://www.bdtradeinfo.com/company/r-r-clothing-ltd-46957,"26, Mandanpaul lane, Zinnat Market, Nawabpur,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+880-2-7114893, 7120990",Generators [ Gas & Diesel ] / Power Generator
R.A.K. Ceramics Bangladesh (Pvt.) Ltd.,https://www.bdtradeinfo.com/company/rak-ceramics-bangladesh-pvt-ltd-33458,"RAK Tower (7th, 8th, & 9th Floor) Plot # 1/A, Sector # 3  Jasimuddin Avenue, Uttara Model Town,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+880-2-58957393, 58952303",Ceramic Wares Manufacturers
R. S. Machinereis,https://www.bdtradeinfo.com/company/r-s-machinereis-34977,"26, Mandanpaul lane, Zinnat Market, Nawabpur,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+880-2-7114893, 7120990",Generators [ Gas & Diesel ] / Power Generator
R. S. Machineries,https://www.bdtradeinfo.com/company/r-s-machineries-51270,"60, B.B Road,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-76915958, 7616240",Knit Wears Manufacturers & Exporters [ Knit Garments ]
R.B Technology Limited,https://www.bdtradeinfo.com/company/rb-technology-limited-45787,"6/22d, Eastern Plaza, Level # 5, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01534-223994,Computer Sales & Distributor
R.A Dyeing & Printing Industries (Pvt) Ltd,https://www.bdtradeinfo.com/company/ra-dyeing-printing-industries-pvt-ltd-46960,"60, B.B Road,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-76915958, 7616240",Knit Wears Manufacturers & Exporters [ Knit Garments ]
R.E Trade International,https://www.bdtradeinfo.com/company/re-trade-international-51261,"Gaus-e Park Computer Market Suit # 50-51, 28/G/1, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9587090, 01977-770664, 01842-466351, 01732-980011","Computer Products, Accessories, Parts & Services"
R.E. Trade International,https://www.bdtradeinfo.com/company/re-trade-international-42042,"Gaus-e Park Computer Market Suit # 50-51, 28/G/1, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9587090, 01977-770664, 01842-466351, 01732-980011","Computer Products, Accessories, Parts & Services"
R.K Laboratory Scientific Instrument,https://www.bdtradeinfo.com/company/rk-laboratory-scientific-instrument-51155,"34/A Hatkhola Road,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh",+88-01714-018038,Scientific Equipment / Instruments / Products
R.K Assets Ltd.,https://www.bdtradeinfo.com/company/rk-assets-ltd-16494,"205/5, Kalvart Road, Fakirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9344733,Computer Sales & Distributor
R.K Computers,https://www.bdtradeinfo.com/company/rk-computers-12623,"205/5, Kalvart Road, Fakirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9344733,Computer Sales & Distributor
