Company Name,URL,Address,Phone,Business Type
S & S Trading Co. Ltd,https://www.bdtradeinfo.com/company/s-s-trading-co-ltd-11156,"House # 147 (Ground Floor), Road # 22, New DOHS, Mohakhali,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh",+880-2-9881004,"Exporter, Importer & Indentor (Multi Products)"
S & H Travels,https://www.bdtradeinfo.com/company/s-h-travels-41244,"56, West Pantha path (Ground Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9118080, 01731-318880",Travel Agencies (Air Ticketing & others)
S & H Equities Ltd,https://www.bdtradeinfo.com/company/s-h-equities-ltd-44838,"Room # 723, Stock Exchange Building, 9/F, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9550365, 9564601, 7175703-11, 01819-238808",Share & Security Broker House
S & D Embroidery,https://www.bdtradeinfo.com/company/s-d-embroidery-39567,"Road-4, Section-B House-6/B, Shapla Housing Zorpur,                                                                                                       Dhaka,                                                                                                       Bangladesh",+88-01713-002867,Embroidery Items
S & P Bangla Ltd,https://www.bdtradeinfo.com/company/s-p-bangla-ltd-47042,"2/E, Hazi Ajgar Ali Road, Baro Dewara, Auch Para, Nishatnagor, Tongi,                                                                                                       Gazipur- 1700,                                                                                                       Bangladesh","+88-01757-817506, 01715-755561, 01717-983209",Knit Wears Manufacturers & Exporters [ Knit Garments ]
S A Surgicals,https://www.bdtradeinfo.com/company/s-a-surgicals-51054,"House # 1168 (2nd floor), Avenue # 12, Mirpur DOHS,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01614-132403,Garments Buyers / Buying House
S Asia Highlights,https://www.bdtradeinfo.com/company/s-asia-highlights-49129,"House # 1168 (2nd floor), Avenue # 12, Mirpur DOHS,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01614-132403,Garments Buyers / Buying House
S Hossain & Associates,https://www.bdtradeinfo.com/company/s-hossain-associates-36955,"House no: 6, Road no: 5, Block no: B, Banasree, Rampura,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh",+88-01770-295000,Lawyers
S Hossain & Associates,https://www.bdtradeinfo.com/company/s-hossain-associates-36944,"House 4/A/1 (3rd Floor), Road no:2, Gulshan-1,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh",+88-01770-295000,Law Firm
S M Global Star Ltd.,https://www.bdtradeinfo.com/company/s-m-global-star-ltd-17267,"31, Malek Tower ( 9th Floor, 2nd lift),                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-01911-342308, 0171-5015972",Leather Exporters
S Four Trade Links,https://www.bdtradeinfo.com/company/s-four-trade-links-41038,"33/1, Level-2, Green Mart, Green Road (Adjacent To Green Life Hospital),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9640160, 01718-749837, 01937-222111, 01715-955001, 01733-331474, 01916-286988",Travel Agencies (Air Ticketing & others)
S M Air International,https://www.bdtradeinfo.com/company/s-m-air-international-51444,"28/A, Toyenbee Circular Raod Khan, Mansion (6th Floor), Room-7-G,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01752-717018,"Printing, Pre-Press, Post Press Machinery & Equipment"
S S International Travels & Tours,https://www.bdtradeinfo.com/company/s-s-international-travels-tours-38663,"33/1, Level-2, Green Mart, Green Road (Adjacent To Green Life Hospital),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9640160, 01718-749837, 01937-222111, 01715-955001, 01733-331474, 01916-286988",Travel Agencies (Air Ticketing & others)
S&S Fashions International,https://www.bdtradeinfo.com/company/ss-fashions-international-50874,"Apt: A2, 10 North Road, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-223363235, 223360217,  44611490, 01726-818691, 01976-818692","Garments Manufacturers & Exporters [ Men, Women & Kids ]"
S K Machinery International,https://www.bdtradeinfo.com/company/s-k-machinery-international-47633,"House # 01, Road # 03, Bayezid Nagor R/A, East Nasirabad,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh",+88-01812-945556 (WhatsApp),Inspection Agency
S-QTS (Products Inspection & Quality Audit),https://www.bdtradeinfo.com/company/s-qts-products-inspection-quality-audit-16225,"House # 01, Road # 03, Bayezid Nagor R/A, East Nasirabad,                                                                                                       Chittagong- 4100,                                                                                                       Bangladesh",+88-01812-945556 (WhatsApp),Inspection Agency
S. A. Rahman Textiles Limited,https://www.bdtradeinfo.com/company/s-a-rahman-textiles-limited-47043,"77/1, Kakrail (Asif Mansion), 6th Floor,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-7741786-7,Knit Wears Manufacturers & Exporters [ Knit Garments ]
S. A. Traders & Co.,https://www.bdtradeinfo.com/company/s-a-traders-co-29845,"121, Motijheel C/A (2nd floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9558340, 9565492, 7171689",Electrical Motor Starter
S. A. Traders & Co. Ltd.,https://www.bdtradeinfo.com/company/s-a-traders-co-ltd-32178,"121, Motijheel C/A (2nd floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+880-2-9558340, 9565492, 7171689",Electrical Motor Starter
S. A. Traders & Co.,https://www.bdtradeinfo.com/company/s-a-traders-co-31894,"121, Motijheel C/A, Jibon Bima Bhaban (2nd floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9558340, 9565492, 7171689, 06662-607106",Pumps
