Company Name,URL,Address,Phone,Business Type
T & T University College,https://www.bdtradeinfo.com/company/t-t-university-college-42834,"Motijheel,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7193810, 01918-967445, 01913-970057",College
T & C TRADE INTERNATIONAL,https://www.bdtradeinfo.com/company/t-c-trade-international-49958,"Suit No. 403, 3rd Floor, Concept Tower 68-69,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01711-520950,Travel Agencies (Air Ticketing & others)
T & A Technology,https://www.bdtradeinfo.com/company/t-a-technology-38921,"House-109, Road-13, Block-E,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh","+88-02-9896925, 01713-024442",Taxi Service
T & C TRADE INTERNATIONAL,https://www.bdtradeinfo.com/company/t-c-trade-international-50919,"Suit No. 403, 3rd Floor, Concept Tower 68-69, Bir Uttam K. M. Shafiullah Sharak,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01711-520950,Jute Mills / Industries / Spinners
T & A International,https://www.bdtradeinfo.com/company/t-a-international-47208,"224/25, Nahar Plaza (1st Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01715-996116, 01975-996116",Mobile Phone Repair Shop
T-2 Computer System.,https://www.bdtradeinfo.com/company/t-2-computer-system-45955,"House # 244 (2nd Floor), Lane # 3, Baridhara DOHS,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+88-02-8419044, 01929-918961-68, 01965-111999",Online Shopping
T-Mobile,https://www.bdtradeinfo.com/company/t-mobile-50765,"224/25, Nahar Plaza (1st Floor),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01715-996116, 01975-996116",Mobile Phone Repair Shop
T-Mart Group,https://www.bdtradeinfo.com/company/t-mart-group-34857,"35, Baitul Aman Mosjit Complex, Inner Circular Road, Motijheel,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7101672, 7101673",Cosmetics & Beauty Products
T-bazar.com,https://www.bdtradeinfo.com/company/t-bazarcom-42521,"House # 244 (2nd Floor), Lane # 3, Baridhara DOHS,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+88-02-8419044, 01929-918961-68, 01965-111999",Online Shopping
T-Series Solutions,https://www.bdtradeinfo.com/company/t-series-solutions-37024,"Rose View Plaza (7th Floor), 185 Elephant Road, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88- 02223363369, 02223367598, 01911-343152",Software & Customized Software Solutions
T-Series Solutions,https://www.bdtradeinfo.com/company/t-series-solutions-13049,"T. K. Bhaban (2nd Floor), 13, Karwan Bazar,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-02-9115210, 9144136, 9142876",Galvanizing Services
T. K. Group of Industries,https://www.bdtradeinfo.com/company/t-k-group-of-industries-42291,"T. K. Bhaban (2nd Floor), 13, Karwan Bazar,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-02-9115210, 9144136, 9142876",Galvanizing Services
T. A. Khan Securities Co. Ltd.,https://www.bdtradeinfo.com/company/t-a-khan-securities-co-ltd-44869,"T. K. Bhaban (2nd Floor), 13, Karwan Bazar,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+880-2-9115210, 9144136, 9142876",Vanaspati Ghee Industries
T. J. Fashion ltd.,https://www.bdtradeinfo.com/company/t-j-fashion-ltd-47209,"Chand Para, Uttarkhan, Uttara,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+880-2-8917785-1402, 8922609, 8913067, 9556402, 9566011",Knit Wears Manufacturers & Exporters [ Knit Garments ]
T. K. Group of Industries,https://www.bdtradeinfo.com/company/t-k-group-of-industries-42321,"T. K. Bhaban (2nd Floor), 13, Karwan Bazar,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+880-2-9115210, 9144136, 9142876",Vanaspati Ghee Industries
T. M. M Knitting Mills Limited,https://www.bdtradeinfo.com/company/t-m-m-knitting-mills-limited-47210,"North Masdair, Gabtoli, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh",+880-2-9561341-3,Knit Wears Manufacturers & Exporters [ Knit Garments ]
T. M. R Knit Fashion Ltd.,https://www.bdtradeinfo.com/company/t-m-r-knit-fashion-ltd-47213,"14, Rajuk DIT Avenue (4th Floor), Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9556117, 9563758",Pipe Manufacturers
