Company Name,URL,Address,Phone,Business Type
U Like Education,https://www.bdtradeinfo.com/company/u-like-education-40313,"218 Dr. Qudrat-i-Khuda Road, 12th Floor, Suite 12, Sahera Tropical Center,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9663567, 01878-927103",Education Consultant / Representative & Foreign Education Centers
Uber Technologies,https://www.bdtradeinfo.com/company/uber-technologies-12905,"Motaleb Tower, 2nd Floor (Suite #A),                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8631218,Software & Customized Software Solutions
U. U. Laboratory College,https://www.bdtradeinfo.com/company/u-u-laboratory-college-42839,"House-12, Rabindra Sarani Road Sector-7,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+88-02-8913854, 01891-048009, 01677-172041",College
UCB Capital Management Limited,https://www.bdtradeinfo.com/company/ucb-capital-management-limited-44879,"6, Dilkusha C/A (1 st Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9558481, 9558448",Share & Security Broker House
U.M. Associates,https://www.bdtradeinfo.com/company/um-associates-23018,"H-92, Airport Road, Banani,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+8801832-958904,Nurseries
Udayan Poly Clinic Ltd,https://www.bdtradeinfo.com/company/udayan-poly-clinic-ltd-37856,"Dhaka,                                                                                                       Bangladesh","+88-9351101, 410081",Hospital
Udayan Nursing Home,https://www.bdtradeinfo.com/company/udayan-nursing-home-47836,"H-92, Airport Road, Banani,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+8801832-958904,Nurseries
Ucksel Private Ltd.,https://www.bdtradeinfo.com/company/ucksel-private-ltd-44284,"15, Rashed Khan Menon Sarok 8/A, Queens Garden,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01715-119444,"Motorcycle Manufacturers, Assemblers, Distributors & Suppliers"
Udayan Uchcha Madhyamik Bidyalaya,https://www.bdtradeinfo.com/company/udayan-uchcha-madhyamik-bidyalaya-42840,"3/3, Fuller Road, Dhaka University,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-02-44865075,College
Uday Coproration,https://www.bdtradeinfo.com/company/uday-coproration-38783,"15, Rashed Khan Menon Sarok 8/A, Queens Garden,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01715-119444,"Motorcycle Manufacturers, Assemblers, Distributors & Suppliers"
Uddins Resorces Ltd,https://www.bdtradeinfo.com/company/uddins-resorces-ltd-11285,"House-18, Road-13, Section-3, Uttara Model Town,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+880-2-8914563,"Exporter, Importer & Indentor (Multi Products)"
Udayon Corporation,https://www.bdtradeinfo.com/company/udayon-corporation-44285,"Suite # 1012 (1st Floor), 73 Lion Complex, Airport Road, Firmgate, Tejgaon,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+880-2-8155109, 01819-269127",Computer Sales & Distributor
Uddipan,https://www.bdtradeinfo.com/company/uddipan-11865,"9/25 Sir Syed Road, Mohammadpur,                                                                                                       Dhaka- 1207,                                                                                                       Bangladesh",+880-2-8115459,NGO
Uddipon Digital System,https://www.bdtradeinfo.com/company/uddipon-digital-system-46074,"Suite # 2012-13, First Floor, 73 Lion Complex, Airport Road, Tejgaon,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-01711-672786, 01819-269127",Computer Sales & Distributor
