Company Name,URL,Address,Phone,Business Type
V I P Shopping Center,https://www.bdtradeinfo.com/company/v-i-p-shopping-center-49628,"111, New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01715-160885,Shopping Center / Shopping Mall
V-Tex Limited,https://www.bdtradeinfo.com/company/v-tex-limited-32961,"16, Naya Paltan (1st floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-8313734, 8319215",Garments Accessories Supplier
V-Best,https://www.bdtradeinfo.com/company/v-best-43746,"Level 6, Block B, Shop 22, Bashundhara City, Panthopath,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-01713-299777, 01978-299777",Mobile Telephone Set Dealers & Sellers
V - Knitwear & Composite Ltd.,https://www.bdtradeinfo.com/company/v-knitwear-composite-ltd-41124,"Sharif Mansion (7th floor), 56/57, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-01190-221212, 01761-083892, 01711-567360, 01711-863351",Knit Wears Manufacturers & Exporters [ Knit Garments ]
V-Teac Fashion (Pvt) Ltd,https://www.bdtradeinfo.com/company/v-teac-fashion-pvt-ltd-47298,"Shop No: 500C (3rd Floor) Motalib Plaza,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01732-486520, 01969-445944",Mobile Phone Repair Shop
VAI VAI TELECOM,https://www.bdtradeinfo.com/company/vai-vai-telecom-50057,"Shop No: 500C (3rd Floor) Motalib Plaza,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01732-486520, 01969-445944",Mobile Phone Repair Shop
Vaajon apparels ltd.,https://www.bdtradeinfo.com/company/vaajon-apparels-ltd-47299,"81, Barabogh, Mirpur, Section # 2,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+880-2-8010806, 8013739",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Valley Power Solutions Ltd.,https://www.bdtradeinfo.com/company/valley-power-solutions-ltd-46102,"Plot-31, Road-03, Nikunja,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh","+880-2-8616771, 01711-527980",Computer Sales & Distributor
Vaajon Textiles,https://www.bdtradeinfo.com/company/vaajon-textiles-47300,"81, Barabogh, Mirpur, Section # 2,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+880-2-8010806, 8013739",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Varosha Agro Chemicals Ltd.,https://www.bdtradeinfo.com/company/varosha-agro-chemicals-ltd-40214,"House # 54, Road # 2, Sector-3 Uttara C/A,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh","+88-02-7913793, 7913794, 01713-019336",Starch and Derivatives Manufacturers & Traders
Valantine International,https://www.bdtradeinfo.com/company/valantine-international-12715,"Skylark Point (4th Floor), 24/A, Bijoy Nagar (Beside of Hotel -71),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01321 222092,Tax Consultant & VAT Consultant
Valuka Travels & Tours,https://www.bdtradeinfo.com/company/valuka-travels-tours-41033,"""Nurjehan Tower"" (6th Fl.) Suite # G1, 80/22, Mymensingh Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9614978-9,Laser Medical Equipment / Systems / Devices / Products
VAT Professionals Forum,https://www.bdtradeinfo.com/company/vat-professionals-forum-50428,"Skylark Point (4th Floor), 24/A, Bijoy Nagar (Beside of Hotel -71),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01321 222092,Tax Consultant & VAT Consultant
Vastech Limited,https://www.bdtradeinfo.com/company/vastech-limited-49023,"""Nurjehan Tower"" (6th Fl.) Suite # G1, 80/22, Mymensingh Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+880-2-9614978-9,Laser Medical Equipment / Systems / Devices / Products
VARITY JUTE TRADING CO.,https://www.bdtradeinfo.com/company/varity-jute-trading-co-37363,"09-06, 61, Bijoy Nagar, Dhaka-1000, 61 Bijoy Nagar Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01955-800477,Tax Consultant & VAT Consultant
"VAT, Tax & Company affairs Bangladesh",https://www.bdtradeinfo.com/company/vat-tax-company-affairs-bangladesh-51644,"09-06, 61, Bijoy Nagar, Dhaka-1000, 61 Bijoy Nagar Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01955-800477,Tax Consultant & VAT Consultant
VATCONS BD,https://www.bdtradeinfo.com/company/vatcons-bd-50430,"House# 191, Road#1, 3rd floor (B3) Mohakhali DOHS,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh",+88-01316-803428,Undefined
VB Tech Ltd.,https://www.bdtradeinfo.com/company/vb-tech-ltd-51613,"House# 191, Road#1, 3rd floor (B3) Mohakhali DOHS,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh",+88-01316-803428,Undefined
Vega Technology,https://www.bdtradeinfo.com/company/vega-technology-47709,"14, Rajuk Avenue (3rd Floor), Motijheel C/A, Rubel Mansion,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9513118, 7110947, 01710-183433",Manpower Recruiting Agency
Vely Trade International,https://www.bdtradeinfo.com/company/vely-trade-international-42025,"14, Rajuk Avenue (3rd Floor), Motijheel C/A, Rubel Mansion,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9513118, 7110947, 01710-183433",Manpower Recruiting Agency
Veetex Fabrics Ltd.,https://www.bdtradeinfo.com/company/veetex-fabrics-ltd-47301,"Multiplan Centre, Level # 8, Shop # 834, 69-71 New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01732453376,Computer Sales & Distributor
