Company Name,URL,Address,Phone,Business Type
Wahab & Associates,https://www.bdtradeinfo.com/company/wahab-associates-41133,"11, Purana Paltan, Room 212, 1st Floor, Ibrahim Mansion,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9512536, 01711-244796",Lawyers
WAC Logistics Limited,https://www.bdtradeinfo.com/company/wac-logistics-limited-21916,"Safura Tower (7th Floor) 20, Kamal Ataturk Avenue Banani C/A,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",880-2-9821037,Ware Houses
WAC Logistics Limited,https://www.bdtradeinfo.com/company/wac-logistics-limited-42098,"Safura Tower (7th Floor) 20, Kamal Ataturk Avenue, Banani C/A,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh",+88-02-9821037,Break Bulk Agent
Wafa Ltd.,https://www.bdtradeinfo.com/company/wafa-ltd-44302,"Wafa Tower, 120/B, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9587671, 9587672, 9587673, 9587674, 9587675, 9587676, 9587677, 9587678, 9587679, 9587680, 9854788, 01723-821775, 01911-343986",Manpower Recruiting Agency
W3 Engineers,https://www.bdtradeinfo.com/company/w3-engineers-46112,"181, Taymun Center, 4th Floor, Khan-A-Sobur Road Shibbari More,                                                                                                       Khulna,                                                                                                       Bangladesh","+88-041-722024, 01722-512512",Computer Sales & Distributor
Wakia Education,https://www.bdtradeinfo.com/company/wakia-education-41106,"Suite 722-727, 7th Floor, Suvastu Arcade, 46-48, New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-01980-085448, 01624-899211",Education Consultant / Representative & Foreign Education Centers
Wahid Engineering,https://www.bdtradeinfo.com/company/wahid-engineering-41951,"House No. 31, 3rd Floor, Road No. 01/A, Block I,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh","+88-02-8810135, 01672-865135, 01713-007369",Manpower Recruiting Agency
Wakiah Enterprise,https://www.bdtradeinfo.com/company/wakiah-enterprise-41065,"Shop No 234-235, 136 (1st Floor), Jabir Tower, Nawabpur,                                                                                                       Dhaka- 1100,                                                                                                       Bangladesh","+88-02-9511243, 01754-777716, 01974-777716",Pipe Manufacturers
Wakil Ahamed,https://www.bdtradeinfo.com/company/wakil-ahamed-40474,"74, Begum Bazar,                                                                                                       Dhaka- 1211,                                                                                                       Bangladesh","+88-02-7311180, 01711-542080",Packaging Industries
Wahid International,https://www.bdtradeinfo.com/company/wahid-international-44303,"House No. 31, 3rd Floor, Road No. 01/A, Block I,                                                                                                       Dhaka- 1213,                                                                                                       Bangladesh","+88-02-8810135, 01672-865135, 01713-007369",Manpower Recruiting Agency
Waliullah Board & Paper House,https://www.bdtradeinfo.com/company/waliullah-board-paper-house-30582,"Jiban Bima Bhaban (Level-3), 10, Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9558535, 9571634-6","Television Manufacturers, Assemblers & Distributors"
Wali Knitwear (Pvt.) Ltd.,https://www.bdtradeinfo.com/company/wali-knitwear-pvt-ltd-47311,"Plot-1088, Block-I, Sabrina Sobhan Road, P.O-Khilkhet, P.S-Vatara, Bashundhara R/A,                                                                                                       Dhaka- 1229,                                                                                                       Bangladesh",+880-2-8809606-555555,Air Conditioner & Air Cooler Distributor & Service center
Walton,https://www.bdtradeinfo.com/company/walton-37944,"Jiban Bima Bhaban (Level-3), 10, Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9558535, 9571634-6",Generators [ Gas & Diesel ] / Power Generator
Walton,https://www.bdtradeinfo.com/company/walton-37945,"Jiban Bima Bhaban (Level-3), 10, Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9558535, 9571634-6","Television Manufacturers, Assemblers & Distributors"
Walton,https://www.bdtradeinfo.com/company/walton-37943,"Plot-1088, Block-I, Sabrina Sobhan Road, P.O-Khilkhet, P.S-Vatara, Bashundhara R/A,                                                                                                       Dhaka- 1229,                                                                                                       Bangladesh",+880-2-8809606-555555,Air Conditioner & Air Cooler Distributor & Service center
Walton Hi-Tech Ind. Ltd.,https://www.bdtradeinfo.com/company/walton-hi-tech-ind-ltd-39237,"House # I-65/2, Ward # 07, Chandra, Kaliakoir Pourashava, Kaliakoir,                                                                                                       Gazipur,                                                                                                       Bangladesh",+88-01678-000455,Computer Sales & Distributor
WALTON INTERNATIONAL LTD.,https://www.bdtradeinfo.com/company/walton-international-ltd-38481,"1 Shaheed Tajuddin Ahmed Sarani (1st floor),                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+88-02-9348672, 8363726, 01715089855",Tour Operators & Promoters
Walton Micro-Tech Corporation.,https://www.bdtradeinfo.com/company/walton-micro-tech-corporation-46113,"House # I-65/2, Ward # 07, Chandra, Kaliakoir Pourashava, Kaliakoir,                                                                                                       Gazipur,                                                                                                       Bangladesh",+88-01678-000455,Computer Sales & Distributor
Walton Hi-Tech Industries Ltd.,https://www.bdtradeinfo.com/company/walton-hi-tech-industries-ltd-48918,"B-63, Malibagh Chowdhury Para, DIT Road,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh",+88-01716-102260,Electrical Goods Dealers & Sellers
Walton Micro-Tech Corporation,https://www.bdtradeinfo.com/company/walton-micro-tech-corporation-38782,"Plot-1088, Block-I, Sabrina Sobhan Road, P.O-Khilkhet, P.S-Vatara, Bashundhara R/A,                                                                                                       Dhaka- 1229,                                                                                                       Bangladesh",+880-2-008809606-555555,Voltage Stabilizer
Walton Plus,https://www.bdtradeinfo.com/company/walton-plus-38251,"B-63, Malibagh Chowdhury Para, DIT Road,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh",+88-01716-102260,Electrical Goods Dealers & Sellers
Walton Voltage Stabilizer,https://www.bdtradeinfo.com/company/walton-voltage-stabilizer-48521,"Plot-1088, Block-I, Sabrina Sobhan Road, P.O-Khilkhet, P.S-Vatara, Bashundhara R/A,                                                                                                       Dhaka- 1229,                                                                                                       Bangladesh",+880-2-008809606-555555,Voltage Stabilizer
Waqfi In-Style,https://www.bdtradeinfo.com/company/waqfi-in-style-47312,"15/2 Topkhana Road, BMA Bhaban, Room # 304 (2nd Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01552-424987,Medical Disposable Items
Warsl Surgical,https://www.bdtradeinfo.com/company/warsl-surgical-50144,"15/2 Topkhana Road, BMA Bhaban, Room # 304 (2nd Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01552-424987,Medical Disposable Items
Waqfi Knit Fabrics (Pvt) Ltd.,https://www.bdtradeinfo.com/company/waqfi-knit-fabrics-pvt-ltd-47313,"Haque Chamber (4th floor) 89/2, West Panthapath,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9111330,Engineering Consultant
Waso Engineers & Consultants (BD) Ltd.,https://www.bdtradeinfo.com/company/waso-engineers-consultants-bd-ltd-28786,"Haque Chamber (4th floor) 89/2, West Panthapath,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-9111330,Engineering Consultant
Water Aid,https://www.bdtradeinfo.com/company/water-aid-11868,"14/2, Shantinagar Bazar Raod,,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01827-213150,Water Filter & Purifier
Warsi Surgical,https://www.bdtradeinfo.com/company/warsi-surgical-47620,"Moon Mansion (2nd floor), 12 Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9565568, 9550058, 01711-952674",Transport Contractors / Agents
Water Life,https://www.bdtradeinfo.com/company/water-life-50247,"14/2, Shantinagar Bazar Raod,,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01827-213150,Water Filter & Purifier
Water Bridge Transport Co.,https://www.bdtradeinfo.com/company/water-bridge-transport-co-25284,"Moon Mansion (2nd floor), 12 Dilkusha C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-9565568, 9550058, 01711-952674",Transport Contractors / Agents
WATER LINK BANGLADESH,https://www.bdtradeinfo.com/company/water-link-bangladesh-50023,"451, South Bashabo, Sabujbagh,                                                                                                       Dhaka- 1214,                                                                                                       Bangladesh",+88-01711-135883,Wastewater Treatment Plant & Equipment
Water Logic BD,https://www.bdtradeinfo.com/company/water-logic-bd-48739,"Shop-1/41, Shadin Bangla Super Marke, Mirpur-1,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01911-195633,Water Filter & Purifier
WATER LOGIC BD,https://www.bdtradeinfo.com/company/water-logic-bd-50024,"451, South Bashabo, Sabujbagh,                                                                                                       Dhaka- 1214,                                                                                                       Bangladesh",+88-01711-135883,Wastewater Treatment Plant & Equipment
Water Purifier Service BD–Shop,https://www.bdtradeinfo.com/company/water-purifier-service-bd-shop-51241,"87, BNS Center,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+88-01999-916083,Cleaning Services
Water Pure Technology,https://www.bdtradeinfo.com/company/water-pure-technology-51780,"Shop-1/41, Shadin Bangla Super Marke, Mirpur-1,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01911-195633,Water Filter & Purifier
Water Tank Cleaning Bangladesh,https://www.bdtradeinfo.com/company/water-tank-cleaning-bangladesh-50975,"87, BNS Center,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+88-01999-916083,Cleaning Services
Water Transport Cell,https://www.bdtradeinfo.com/company/water-transport-cell-40950,"220/1 Rokeya Sharani, Taltola, West kafrul,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+880-2-8156914,Water Treatment Plant & Equipment
Water World Engineering,https://www.bdtradeinfo.com/company/water-world-engineering-21944,"House # 36, Road # 2, Block # KA, Section # 6, Mirpur,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+880-2-9003311, 01712-226670, 01911-014599",Wastewater Treatment Plant & Equipment
Water Treatment & Filter House,https://www.bdtradeinfo.com/company/water-treatment-filter-house-36312,"220/1 Rokeya Sharani, Taltola, West kafrul,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+880-2-8156914,Water Treatment Plant & Equipment
WaterWin Limited,https://www.bdtradeinfo.com/company/waterwin-limited-22760,"Garden View, Suite # B-503, 18/1, 19, Garden Road, West Karwan Bazar,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh","+88-01713-401520, 01746-120410",Industrial Engineers & Consultant
WaterWin Limited,https://www.bdtradeinfo.com/company/waterwin-limited-29792,"House # 36, Road # 2, Block # KA, Section # 6, Mirpur,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh","+880-2-9003311, 01712-226670, 01911-014599",Wastewater Treatment Plant & Equipment
