Company Name,URL,Address,Phone,Business Type
X Gallery,https://www.bdtradeinfo.com/company/x-gallery-40592,"Nurjehan Towers, 1st Floor, 2 Link Road, Banglamotor,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh",+88-01844-004088,Photo Colour Lab
Xenomed,https://www.bdtradeinfo.com/company/xenomed-41878,"Sahera Tropical Centre (Level-8, Room # 1/A) 218, New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9615968, 01745-694619",Physiotherapy Centers
Xenial Broadband,https://www.bdtradeinfo.com/company/xenial-broadband-46130,"House # 466 (Ground Floor), Road # 8, Dohs Baridhara,                                                                                                       Dhaka- 1206,                                                                                                       Bangladesh","+880-2-8414189, 01720-592747",Computer Sales & Distributor
Xenixware (Pvt) Limited,https://www.bdtradeinfo.com/company/xenixware-pvt-limited-46131,"1045/46, Level # 10, Multiplan Center, 69-71 New Elephant Road,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01734-081546,Computer Sales & Distributor
Xiamen Restaurant,https://www.bdtradeinfo.com/company/xiamen-restaurant-40570,"House no. 55 A, Road no. 4 A (New), Satmasjid Road Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-58617163, 9673541, 01755-636260",Restaurant (Mobile)
Xenial Health Care Ltd,https://www.bdtradeinfo.com/company/xenial-health-care-ltd-37983,"Suite-3/A, Motalib Tower (2nd Floor) 8/2 Paribagh, Hatirpool,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01711-709543,Hospital
Xiamin Thai and Chinese Restaurant,https://www.bdtradeinfo.com/company/xiamin-thai-and-chinese-restaurant-42279,"House no. 55 A, Road no. 4 A (New), Satmasjid Road Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-58617163, 9673541, 01755-636260",Restaurant (Mobile)
Xinxian Restaurant,https://www.bdtradeinfo.com/company/xinxian-restaurant-48094,"House-7, Road-8,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01755-636263,Restaurant
Xinxian Restaurant,https://www.bdtradeinfo.com/company/xinxian-restaurant-42278,"House-7, Road-8,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+88-01755-636263,Restaurant (Mobile)
Xpress International (BD) Ltd.,https://www.bdtradeinfo.com/company/xpress-international-bd-ltd-11443,"203/2, Fokirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-8318211, 8318603",International Freight Forwarders
XTRA POWER BANGLADESH,https://www.bdtradeinfo.com/company/xtra-power-bangladesh-48853,"Shwapno Chura (Ground Floor) 137/5, Second Colony, Mirpur Mazar Road,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01975-124512,Racking System
Xpeed E-Soft,https://www.bdtradeinfo.com/company/xpeed-e-soft-46132,"102/B, Chowdhury Para, Khilgaon,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+880-2-9338696, 01713-116070",Computer Sales & Distributor
Xtream Technologies,https://www.bdtradeinfo.com/company/xtream-technologies-46133,"102/B, Chowdhury Para, Khilgaon,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+880-2-9338696, 01713-116070",Computer Sales & Distributor
Xl Composite Ltd,https://www.bdtradeinfo.com/company/xl-composite-ltd-47325,"Flat # B1, House # 30, Road # 121, Gulshan # 1,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh",+880-2-9888394,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Xpressions Knitwear Industries Ltd.,https://www.bdtradeinfo.com/company/xpressions-knitwear-industries-ltd-47326,"Flat # B1, House # 30, Road # 121, Gulshan # 1,                                                                                                       Dhaka- 1212,                                                                                                       Bangladesh",+880-2-9888394,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Xtream Technologies.,https://www.bdtradeinfo.com/company/xtream-technologies-46135,"102/B, Chowdhury Para, Khilgaon,                                                                                                       Dhaka- 1219,                                                                                                       Bangladesh","+880-2-9338696, 01713-116070",Computer Sales & Distributor
Xpeed Energy Resources Ltd.,https://www.bdtradeinfo.com/company/xpeed-energy-resources-ltd-41720,"105/1 Agamasi Lane,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01819-200037,Computer Sales & Distributor
Xways Soft (Pvt) Ltd.,https://www.bdtradeinfo.com/company/xways-soft-pvt-ltd-46134,"105/1 Agamasi Lane,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh",+88-01819-200037,Computer Sales & Distributor
