Company Name,URL,Address,Phone,Business Type
YASHRA INTERNATIONAL LTD.,https://www.bdtradeinfo.com/company/yashra-international-ltd-49888,"32/B, Nigar Plaza, 9th Floor, Room-8/D, Road-02, Sector-03, Uttara,                                                                                                       Dhaka- 1230,                                                                                                       Bangladesh",+88-02-48956060,Garments Buyers / Buying House
YASIN SANITARY,https://www.bdtradeinfo.com/company/yasin-sanitary-49907,"31/8, Shershahsuri Road,                                                                                                       Dhaka- 1207,                                                                                                       Bangladesh",+880 1819-131440,Sanitary Ware & Tiles Industries
Yahoo Surf,https://www.bdtradeinfo.com/company/yahoo-surf-43239,"0253/254, Elephant Road, Katabon, New Market,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh","+88-02-9666650, 01712-800274",Cyber Cafe
Yambu Trade International,https://www.bdtradeinfo.com/company/yambu-trade-international-44312,"G-Nat Tower (6th Floor), 116-117, D.I.T. Extension Road, Fakirapool,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7195427, 7193200, 01819-282229",Manpower Recruiting Agency
Yasin Scientific Store,https://www.bdtradeinfo.com/company/yasin-scientific-store-47890,"27 Shahid Nazrul Islam Saharak, Hatkhola Tikatuli,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh","+880-2-9554184, 01819-186514",Scientific Equipment / Instruments / Products
Yaita Kouki Co. Ltd.,https://www.bdtradeinfo.com/company/yaita-kouki-co-ltd-17599,"Plot-9, 10, Sector-2,                                                                                                       Chittagong,                                                                                                       Bangladesh","+880-31-740529, 502910",Companies of EPZ
Yeahea Travels,https://www.bdtradeinfo.com/company/yeahea-travels-40642,"Toynbee Circular Road, Rahmania International Complex, Suite 17, Level 8, 28/1/C, Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-7193271, 01813-336164",Travel Agencies (Air Ticketing & others)
Yang Ming Line,https://www.bdtradeinfo.com/company/yang-ming-line-17425,"8, Hosni Dalan Road, Bokshibazar,                                                                                                       Dhaka- 1207,                                                                                                       Bangladesh","+880-2-7300402, 01672-218660",Chemicals
Yeasmin Chemical Works,https://www.bdtradeinfo.com/company/yeasmin-chemical-works-38438,"8, Hosni Dalan Road, Bokshibazar,                                                                                                       Dhaka- 1207,                                                                                                       Bangladesh","+880-2-7300402, 01672-218660",Chemicals
Yellow,https://www.bdtradeinfo.com/company/yellow-48561,"House No-17, Road No- 2, Dhanmondi,                                                                                                       Dhaka- 1205,                                                                                                       Bangladesh",+880-2-8618220,Fashion House
Yellow Pages (Pvt.) Ltd.,https://www.bdtradeinfo.com/company/yellow-pages-pvt-ltd-11609,"Sharif Mansion (6th Floor) 56-57 Motijheel C/A,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-9557755, 9563428",Trade Directory
YDDN Bangladesh,https://www.bdtradeinfo.com/company/yddn-bangladesh-46567,,,
Yellow Pages (Pvt.) Ltd.,https://www.bdtradeinfo.com/company/yellow-pages-pvt-ltd-26912,,,
YDDN Global,https://www.bdtradeinfo.com/company/yddn-global-46572,"Kaptan Bazar Complex, Bhaban-2, Shop-188,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh",+88-01721-469697,Electrical Equipment & spare parts
Yes Corporation,https://www.bdtradeinfo.com/company/yes-corporation-51892,"Kaptan Bazar Complex, Bhaban-2, Shop-188,                                                                                                       Dhaka- 1203,                                                                                                       Bangladesh",+88-01721-469697,Electrical Equipment & spare parts
YM Trade Connection,https://www.bdtradeinfo.com/company/ym-trade-connection-38723,"50/E, Inner Circular Road, 2nd Floor, Naya Paltan,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-8360786, 8322326, 01911-385725",Networking [ LAN / WAN / VPN ]
