Company Name,URL,Address,Phone,Business Type
Z. Islam & Sons,https://www.bdtradeinfo.com/company/z-islam-sons-33437,"83/C, Siddheswari Circular Road,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh","+880-2-9346770, 9669915","Exporter, Importer & Indentor (Multi Products)"
Z Solution,https://www.bdtradeinfo.com/company/z-solution-12354,"43, Momin Road,                                                                                                       Chittagong- 4000,                                                                                                       Bangladesh","+880-31-635501, 634634",Computer Sales & Distributor
Z. H. Chowdhury & Sons,https://www.bdtradeinfo.com/company/z-h-chowdhury-sons-38998,"66/A, Shama Complex (4th Floor), Naya Paltan, VIP Road,                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+88-02-8316539, 9347029, 01927-093210",Travel Agencies (Air Ticketing & others)
Z. H. Chowdhury&sons.,https://www.bdtradeinfo.com/company/z-h-chowdhurysons-46854,"66/1, Naya Polton Vip-Road, Shama Complex (4th Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-8316539, 9347029, 01927-093210",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Z. M. Optics,https://www.bdtradeinfo.com/company/z-m-optics-40298,"96, Green Road,                                                                                                       Dhaka- 1215,                                                                                                       Bangladesh",+88-02-8150663,"Optical Frame & Lenses, Optical Stores"
Z. M. Travel Agencies,https://www.bdtradeinfo.com/company/z-m-travel-agencies-46874,"47, D. I. T. Extension Road, Fakirapool,( Hotel Al-Salam, 2nd Floor),                                                                                                       Dhaka- 1000,                                                                                                       Bangladesh","+880-2-7192381, 01860-860945",Travel Agencies (Air Ticketing & others)
Z. S. Apparels,https://www.bdtradeinfo.com/company/z-s-apparels-47330,"Dolpara, Fatullah,                                                                                                       Narayanganj- 1400,                                                                                                       Bangladesh","+880-2-7616188, 7616187",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Z.A Business Ltd.,https://www.bdtradeinfo.com/company/za-business-ltd-39928,"Mouchak Tower (5th floor), Suite # 609, Malibagh More,                                                                                                       Dhaka- 1217,                                                                                                       Bangladesh","+88-01717-920828, 01610-700040",Garments Buyers / Buying House
Z.M. Sourcing,https://www.bdtradeinfo.com/company/zm-sourcing-40464,"51, Mirpur Raod Alpana Plaza (2nd Floor),                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01819-216031,Washing Industries
Z.M.Z. Enterprise,https://www.bdtradeinfo.com/company/zmz-enterprise-51674,"Shop-15, Fire Plaza (2nd Floor), Mirpur-1,                                                                                                       Dhaka- 1216,                                                                                                       Bangladesh",+88-01675-120877,Garments Accessories Supplier
